osisId,note_id,verse_lexical_id,source_position,source_code_ordinal,source_strong,source_surface,note_type,resolution_status,target_verse,target_position,related_verse_lexical_ids,value_text,evidence_text
Isa.4.5,445,441889,19,0,H3519,glory,related_word,resolved,,,,"Genuine and notable: honor/heavy/glory (H3513-H3515) -- the well-known Hebrew 'weight = glory' semantic connection (kavod), a real and important finding.",
Isa.4.5,446,441890,20,0,H2646,canopy,related_word,resolved,,,,"Mixed: Huppah/Huppim (proper names derived from the same root) alongside 'to cover'/'to shield' (H2645/H2653) -- a genuine, if modest, semantic connection to 'canopy' as a covering.",
Amos.8.4,447,526507,0,0,H8085G,Hear,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 90 related codes under the exact code H8085G, mostly coincidental at scale but with one genuinely meaningful exception -- Ishmael/Yishma'el (H3458, 6 sub-entries) is not a pure coincidence: the name literally means 'God hears', a deliberate name-formation on this exact root, the same pattern already found at Lev.17.16 (Lo-debar/Not-My-People). hashma'ut ('report', H2045) is also a genuine direct cognate.",
Amos.8.4,448,526508,1,0,H2063,this,related_word,resolved,,,,"Minor genuine relation: 'this' (H2088) shares the demonstrative family, real if trivial.",
Amos.8.4,449,526509,2,0,H7602B,trample on,related_word,checked_empty,,,,"1 related code pulled, form/gloss empty -- not usable.",
Amos.8.4,450,526510,2,1,H9009,trample on,inert,checked_empty,,,,"Definite article, function role.",
Amos.8.4,451,526511,3,0,H0034,needy,related_word,resolved,,,,"Genuine etymological finding: 'needy' (evyon) shares its root with 'to desire/be willing' (H0014/H0035) -- the needy are, at root, 'those who lack/desire'.",
Amos.8.4,452,526512,4,0,H6041,poor,related_word,resolved,,,,"Genuine, strong family: afflict/poor/gentleness (H6031-H6038) -- a real, substantial semantic cluster central to this verse's own social-justice vocabulary.",
Amos.8.4,453,526513,5,0,H0776G,land,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 7 related codes under the exact code H0776G, genuine -- eretz/ara ('earth/land') own sub-senses (soil/inferior/planet), a real same-concept family.",
Amos.8.4,454,526514,6,0,H7673A,end,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 8 related codes under the exact code H7673A, genuine and notable -- shabath ('to bring to an end/cease') shares its root with shabbat ('Sabbath', the day of cessation/rest) -- ending/ceasing shares its very root with the concept of sabbath-rest, a real and meaningful etymological connection.",
Amos.8.4,455,526514,6,0,H7673A,end,structural_pattern,resolved,,,"[526511, 526512]",'trample on' / 'needy' / 'poor' form the indictment's own accusation cluster -- the verb and its two victim-terms named together as one social-justice charge.,
Amos.8.4,456,526515,6,1,H9002,end,inert,checked_empty,,,,"Conjunctive component within the compound verb phrase, function role.",
Amos.8.4,457,526516,6,2,H9005,end,inert,checked_empty,,,,"Prepositional component within the compound verb phrase, function role.",
Mark.11.21,402,833026,0,0,G2532,And,connective,resolved,,,,Coordinating 'And' -- narrative sequencer opening the verse.,
Mark.11.21,403,833027,1,0,G4074G,Peter,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 16 related codes under the exact code G4074G, genuine and directly relevant -- Peter's OWN other names/epithets (Cephas, Simon, Bar-Jonah) are cross-referenced here, the same identity-cluster pattern as Jacob=Israel elsewhere in this sample -- one person, multiple attested names.",
Mark.11.21,404,833028,2,0,G0363,remembered,related_word,resolved,,,,"Genuine, direct family: remembrance / to remember (G0364/G3403) -- real cognates, expected.",
Mark.11.21,405,833029,3,0,G3004G,said,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 15 related codes under the exact code G3004G, genuine but a notably different semantic register -- this 'say' root's family skews toward dispute/rebuke/conviction (antilego 'to dispute', elenchos 'rebuke', exelencho 'to convict'), not plain neutral speech. Worth naming: the same verb root that means simple 'said' here extends elsewhere to argumentative/accusatory speech.",
Mark.11.21,406,833030,4,0,G0846,him,related_word,resolved,,,,"Minor genuine relation: reflexive-pronoun morphological family (G1438/G1683) -- real cognates, not a substantive finding on its own.",
Mark.11.21,407,833030,4,0,G0846,him,entity_link,resolved,,,,"'him' (dative) refers to Jesus, the addressee of Peter's remark -- confirmed from the target verse's own grammar (a vocative 'Rabbi' immediately follows).",
Mark.11.21,408,833031,5,0,G4461,Rabbi,related_word,resolved,,,,"Genuine, direct cognate: Rabboni (G4462) -- the same honorific family, real.",
Mark.11.21,409,833032,6,0,G2396,look,related_word,resolved,,,,"Genuine, direct cognate: 'to perceive/know' (G1492) -- 'look/behold' shares its root with 'to see', real and expected.",
Mark.11.21,410,833033,7,0,G4808,fig tree,related_word,resolved,,,,"Genuine botanical-term cluster: mulberry/sycamore/fig (G4807/G4809/G4810) -- real, all fruit-tree names sharing a root, not coincidental.",
Mark.11.21,411,833033,7,0,G4808,fig tree,entity_link,resolved,Mark.11.13,4,,"'fig tree' (G4808) is the same tree Jesus approached in Mark.11.13 -- same strong code, same referent, confirmed by a targeted read of the earlier verse. NOT cross_lemma_shared_gloss -- that note_type is for two DIFFERENT lemmas sharing a sense, not the same code recurring.",
Mark.11.21,412,833034,8,0,G3739,that,related_word,checked_empty,,,,"1 related code pulled, form/gloss empty -- not usable.",
Mark.11.21,413,833034,8,0,G3739,that,pronoun_resolution,resolved,Mark.11.21,7,,'that' (relative pronoun) refers to 'fig tree' (position 7) -- the relative clause's antecedent within the same verse.,
Mark.11.21,414,833035,9,0,G2672,cursed,related_word,resolved,,,,"Genuine, direct family: cursed/curse (G1944/G2671) -- real cognates.",
Mark.11.21,415,833036,10,0,G3583,withered,related_word,resolved,,,,"Genuine, direct cognate: 'dried up/withered' (G3584) -- real, expected.",
Rom.9.14,362,89073,0,0,G5101,What,related_word,resolved,,,,"Genuine interrogative-pronoun family: why?/one?/which? (G2444/G5100) -- real cognates, expected.",
Rom.9.14,363,89074,1,0,G4483,say,related_word,resolved,,,,"Genuine, large cognate family: say/speak (G2036/G2046/G4482/G4487/G4489) -- the classic Greek verb-of-speech cluster, real.",
Rom.9.14,364,89075,2,0,G3767,then,connective,unclassified,,,,"'then' (oun) here is inferential -- drawing a conclusion from the preceding argument. The design's 3-class connective lexicon has no inferential class -- correctly UNCLASSIFIED, the same taxonomy gap already found at Lev.17.16 (conditional) and Prov.31.30 (adversative).",
Rom.9.14,365,89076,3,0,G3361,Is,related_word,checked_empty,,,,0 related codes pulled.,
Rom.9.14,366,89076,3,0,G3361,Is,connective,resolved,,,"[89080, 89081]",Part of the me genoito ('by no means') rhetorical-denial construction together with positions 7-8.,
Rom.9.14,367,89077,4,0,G0093,injustice,related_word,resolved,,,,"Genuine, rich family: harm/crime/unjust/opponent/justice (G0091-G1341) -- a substantial semantic cluster directly relevant to Paul's own argument about justice/righteousness in Romans.",
Rom.9.14,368,89078,5,0,G3844,on,related_word,checked_empty,,,,0 related codes pulled.,
Rom.9.14,369,89079,6,0,G2316,God’s,related_word,resolved,,,,"Genuine, theologically rich family: without-God/goddess/divine/God-fighting/God-breathed (G0112-G2315) -- a real, significant cluster directly relevant to a study of divine-referring vocabulary specifically.",
Rom.9.14,370,89080,7,0,G3361,no,related_word,checked_empty,,,,0 related codes pulled.,
Rom.9.14,371,89080,7,0,G3361,no,idiom,resolved,Rom.9.14,8,,"me genoito ('by no means') is a fixed, well-known Pauline rhetorical idiom for emphatic denial, spanning positions 7-8.",
Rom.9.14,372,89081,8,0,G1096,means,related_word,checked_empty,,,,Only a self-referential match (ginomai to itself) -- not a genuine external relation.,
