question_code,scope,window,mechanism,placement_verdict,placement_note,payload_verdict,payload_note,instruction_verdict,instruction_issue_type,writeback_verdict,writeback_note,question_text
D5.3.2,Other non-human beings,relational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-vague(evidence),CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","At the characteristic level, is it shared between God and the person, or an exclusively creaturely analogue to something in God?"
D5.3.3,Other non-human beings,relational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-vague,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","At the characteristic level, where it is present or absent in a person, what does that indicate about the condition of the divine image in them -- or is no such indication evidenced?"
D6.1.1,Verse-context,constitutional,STRUCTURALLY-UNREACHABLE,WRONG -- NO STAGE SELECTS THIS SCOPE,"No stage's query includes this question's scope at all (Verse-context/The verse/most of Word-term lexical) -- structurally invisible regardless of how many clusters get processed. This is #1806's own ORIGINAL ask, still not redesigned.",N/A,Never presented to any stage -- no payload exists to audit.,COMPLIANT,none,N/A,Never answered by any stage -- no write-back to audit.,"At which constitutional level(s) does this verse locate the characteristic — from {spirit, soul, heart, mind, other soul-subset, a named body part} — and how is each engaged? Record every level evidenced, or none."
D6.1.2,The HIB,constitutional,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",COMPLIANT,none,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the verses, what does the pattern of engaged and absent levels indicate — the characteristic's depth and seat, the levels it never engages, and (for any body link) whether the link is emphatic, functional, expressive, indicative, or mediating?"
D6.2.1,The HIB,constitutional,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-vague(evidence),CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses that locate it at both a named body part and a spirit/soul/heart/mind level together, in which direction does that link run -- soul/spirit expressing through the body, the body feeding back to the soul, or both -- and what follows from that direction? If no such body link appears, record none."
D6.3.1,The HIB,constitutional,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-missing,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses, does it move across constitutional levels (spirit->soul->body), or onto the person from an external source -- including another spirit (angelic or adversarial) -- or in another direction; and if so in what sequence or pattern? If no movement, record none."
D7.1.1,Word/term (lexical),relational,STRUCTURALLY-UNREACHABLE,WRONG -- NO STAGE SELECTS THIS SCOPE,"No stage's query includes this question's scope at all (Verse-context/The verse/most of Word-term lexical) -- structurally invisible regardless of how many clusters get processed. This is #1806's own ORIGINAL ask, still not redesigned.",N/A,Never presented to any stage -- no payload exists to audit.,COMPLIANT,none,N/A,Never answered by any stage -- no write-back to audit.,"In this verse, does the characteristic operate from God toward the human person, and if so how? Record none if it does not."
D7.1.2,Other non-human beings,relational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-vague(evidence),CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses that show it operating from God toward the human person, on what basis does God extend it -- conditional, unconditional, covenantal, or responsive?"
D7.1.3,Other non-human beings,relational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-missing,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses that show it operating from God toward the human person, what does God's extension show about his disposition toward the human person?"
D7.2.1,Word/term (lexical),relational,STRUCTURALLY-UNREACHABLE,WRONG -- NO STAGE SELECTS THIS SCOPE,"No stage's query includes this question's scope at all (Verse-context/The verse/most of Word-term lexical) -- structurally invisible regardless of how many clusters get processed. This is #1806's own ORIGINAL ask, still not redesigned.",N/A,Never presented to any stage -- no payload exists to audit.,COMPLIANT,none,N/A,Never answered by any stage -- no write-back to audit.,"In this verse, is the characteristic extended by one person toward another, and if so how does it operate in that extension? Record none if it is not."
D7.2.2,Characteristic relational,relational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-missing,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses that show it extended by one person toward another, what inner conditions or orientations in the giver accompany that extension?"
D7.2.3,Characteristic relational,relational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-vague(evidence),CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses that show it extended by one person toward another, what must a person have received or become before they extend the characteristic themselves?"
D7.3.1,Word/term (lexical),relational,STRUCTURALLY-UNREACHABLE,WRONG -- NO STAGE SELECTS THIS SCOPE,"No stage's query includes this question's scope at all (Verse-context/The verse/most of Word-term lexical) -- structurally invisible regardless of how many clusters get processed. This is #1806's own ORIGINAL ask, still not redesigned.",N/A,Never presented to any stage -- no payload exists to audit.,COMPLIANT,none,N/A,Never answered by any stage -- no write-back to audit.,"In this verse, is the characteristic taken up by a person from another, and if so how does it operate in that uptake? Record none if it is not."
D7.3.2,Characteristic relational,relational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-missing,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses, what inner conditions accompany or block uptake of the characteristic from another person?"
D7.3.3,Characteristic relational,relational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-missing,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses that show a person meeting the characteristic from another but not taking it up, what is their inner-being state?"
D7.4.1,Word/term (lexical),relational,STRUCTURALLY-UNREACHABLE,WRONG -- NO STAGE SELECTS THIS SCOPE,"No stage's query includes this question's scope at all (Verse-context/The verse/most of Word-term lexical) -- structurally invisible regardless of how many clusters get processed. This is #1806's own ORIGINAL ask, still not redesigned.",N/A,Never presented to any stage -- no payload exists to audit.,COMPLIANT,none,N/A,Never answered by any stage -- no write-back to audit.,"In this verse, does the characteristic operate in relation to other spiritual beings — angelic or adversarial — and if so how? Record none if it does not."
D7.4.2a,Word/term (lexical),relational,STRUCTURALLY-UNREACHABLE,WRONG -- NO STAGE SELECTS THIS SCOPE,"No stage's query includes this question's scope at all (Verse-context/The verse/most of Word-term lexical) -- structurally invisible regardless of how many clusters get processed. This is #1806's own ORIGINAL ask, still not redesigned.",N/A,Never presented to any stage -- no payload exists to audit.,REVISE,jargon;grain-vague,N/A,Never answered by any stage -- no write-back to audit.,"Across the characteristic's verses, does an adversarial spiritual being ever appear as an acting party in a verse carrying this characteristic?"
D7.4.2b,Other non-human beings,relational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,subject-missing;grain-missing,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","At the characteristic level, what does the pattern of adversarial spiritual beings appearing as an acting party in the characteristic's verses show about the characteristic being a site of adversarial activity?"
D7.4.3a,Word/term (lexical),relational,STRUCTURALLY-UNREACHABLE,WRONG -- NO STAGE SELECTS THIS SCOPE,"No stage's query includes this question's scope at all (Verse-context/The verse/most of Word-term lexical) -- structurally invisible regardless of how many clusters get processed. This is #1806's own ORIGINAL ask, still not redesigned.",N/A,Never presented to any stage -- no payload exists to audit.,REVISE,jargon;grain-vague,N/A,Never answered by any stage -- no write-back to audit.,"Across the characteristic's verses, does an angelic being ever appear as an acting party in a verse carrying this characteristic?"
D7.4.3b,Other non-human beings,relational,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,subject-missing;grain-missing,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","At the characteristic level, what does the pattern of angelic beings appearing as an acting party in the characteristic's verses show about the characteristic being communicated, strengthened, or mediated through angelic ministry?"
D7.5.1,Verse-context,origin,STRUCTURALLY-UNREACHABLE,WRONG -- NO STAGE SELECTS THIS SCOPE,"No stage's query includes this question's scope at all (Verse-context/The verse/most of Word-term lexical) -- structurally invisible regardless of how many clusters get processed. This is #1806's own ORIGINAL ask, still not redesigned.",N/A,Never presented to any stage -- no payload exists to audit.,COMPLIANT,none,N/A,Never answered by any stage -- no write-back to audit.,"Where does this verse say the characteristic originates — generated within the person, received from another person, bestowed by God, carried generationally, introduced by another spirit (angelic or adversarial), or not stated?"
