module,file_path,purpose,inactive,config_exempt,config_exempt_reason,crash_escalation_reviewed,crash_escalation_note
scripts_apply_link_mti_term_id,scripts/_apply_link_mti_term_id.py,"_apply_link_mti_term_id.py — D2a (2026-06-15): populate the missing wa_verse_records.mti_term_id link -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_apply_load_segmentation_v1_20260703,scripts/_apply_load_segmentation_v1_20260703.py,Load an inner-being SEGMENTATION (units) into the generic segment store.,1,0,,0,
scripts_apply_locus_dimension_v1_20260704,scripts/_apply_locus_dimension_v1_20260704.py,Derive a LOCUS dimension (ve_nr 116) on target/bearer spans: IB-internal vs external.,1,0,,0,
scripts_apply_m03_characteristic_backfill_20260527,scripts/_apply_m03_characteristic_backfill_20260527.py,M03 characteristic backfill (test cluster for pre-v2_6 characteristic retrofit).,1,0,,0,
scripts_apply_m03_findings_capture_20260620,scripts/_apply_m03_findings_capture_20260620.py,"_apply_m03_findings_capture_20260620.py — capture M03 (Grief) findings, in line with M02.",1,0,,0,
scripts_apply_master_index_backfill_v1_20260706,scripts/_apply_master_index_backfill_v1_20260706.py,Master-index -> wa_verse_records backfill (per book).,1,0,,0,
scripts_apply_merge_m10bc_into_m10_20260623,scripts/_apply_merge_m10bc_into_m10_20260623.py,Merge M10b + M10c into M10 (researcher decision 2026-06-23): the three-way split,1,0,,0,
scripts_apply_migrate_sb_findings,scripts/_apply_migrate_sb_findings.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_migrate_sb_findings.py — migrate Session B findings (wa_session_b_findings) into the universal,1,0,,0,
scripts_apply_migrate_ve_findings_to_lexical,scripts/_apply_migrate_ve_findings_to_lexical.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_migrate_ve_findings_to_lexical.py (2026-06-15) — retrofit the VE field-value findings OUT of,1,0,,0,
scripts_apply_morph_backfill,scripts/_apply_morph_backfill.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_morph_backfill.py — L0 of the L1 sweep. Populates wa_verse_records.morph_code / stem from STEP,1,0,,0,
scripts_apply_mti_dedup_active_duplicates_v1_20260713,scripts/_apply_mti_dedup_active_duplicates_v1_20260713.py,Isolate duplicate ACTIVE mti_terms rows — one active row per Strong's (OT-DBR-009).,1,0,,0,
scripts_apply_passage_build_v2_20260713,scripts/_apply_passage_build_v2_20260713.py,"Passage build v2 — candidate-driven, per book (Stage 0 of the cycle).",1,0,,0,
scripts_apply_passage_completeness_v1_20260707,scripts/_apply_passage_completeness_v1_20260707.py,"Passage completeness (reading-unit repair) — per book, reusable.",1,0,,0,
scripts_apply_passage_process_markers_v1_20260701,scripts/_apply_passage_process_markers_v1_20260701.py,_apply_passage_process_markers_v1_20260701.py,1,0,,0,
scripts_apply_persist_narration_finding_v1,scripts/_apply_persist_narration_finding_v1.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_persist_narration_finding_v1.py (2026-06-15) — persist the templated narration as the single,1,0,,0,
scripts_apply_phase2_flags_patch,scripts/_apply_phase2_flags_patch.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). Apply phase2-flag-reassessment-20260319-v1.json,1,0,,0,
scripts_apply_poetic_chapter_lexical_v1_20260702,scripts/_apply_poetic_chapter_lexical_v1_20260702.py,_apply_poetic_chapter_lexical_v1_20260702.py,1,0,,0,
scripts_apply_prose_programme_chapter01,scripts/_apply_prose_programme_chapter01.py,"_apply_prose_programme_chapter01.py -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_apply_psalm_role_reassess_v1_20260706,scripts/_apply_psalm_role_reassess_v1_20260706.py,_apply_psalm_role_reassess_v1_20260706.py — Step 2: re-assess the role dimension for a psalm.,1,0,,0,
scripts_apply_psalms_gate1_completeness_v1_20260706,scripts/_apply_psalms_gate1_completeness_v1_20260706.py,_apply_psalms_gate1_completeness_v1_20260706.py — Step (d) Gate-1 completeness for PSALMS.,1,0,,0,
scripts_apply_psalms_gate1_reactivate_v1_20260706,scripts/_apply_psalms_gate1_reactivate_v1_20260706.py,_apply_psalms_gate1_reactivate_v1_20260706.py — finish Step (d) for Psalms.,1,0,,0,
scripts_apply_psalms_linkage_fix_v1_20260706,scripts/_apply_psalms_linkage_fix_v1_20260706.py,_apply_psalms_linkage_fix_v1_20260706.py — Step 1 (linkages) for PSALMS only.,1,0,,0,
scripts_apply_rebuild_ib_char_meaning_keyed_v3_20260711,scripts/_apply_rebuild_ib_char_meaning_keyed_v3_20260711.py,"(v3) Rebuild ib_characteristic keyed on MEANING-IN-CONTEXT, not base lemma.",1,0,,0,
scripts_apply_rebuild_passages_consecutive_v2_20260701,scripts/_apply_rebuild_passages_consecutive_v2_20260701.py,_apply_rebuild_passages_consecutive_v2_20260701.py,1,0,,0,
scripts_apply_recode_sessionb_m10_findings_20260623,scripts/_apply_recode_sessionb_m10_findings_20260623.py,Recode mis-migrated session_b CLUSTER-level findings off M10 to their correct,1,0,,0,
scripts_apply_registry_metadata_patch,scripts/_apply_registry_metadata_patch.py,"_apply_registry_metadata_patch.py -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_apply_reread_lexical_v1_20260709,scripts/_apply_reread_lexical_v1_20260709.py,Apply a char-driven re-read lexical JSON to ve_lexical. REUSABLE per chapter/book.,1,0,,0,
scripts_apply_reread_roles_from_velexical_v1_20260709,scripts/_apply_reread_roles_from_velexical_v1_20260709.py,_apply_reread_roles_from_velexical_v1_20260709.py,1,0,,0,
scripts_apply_reset_l2_meaning_flags,scripts/_apply_reset_l2_meaning_flags.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_reset_l2_meaning_flags.py — WRITES. Recomputes finding.flagged_for_review for ALL l2_meaning,1,0,,0,
scripts_apply_retrofit_dims_v1_20260714,scripts/_apply_retrofit_dims_v1_20260714.py,"Retrofit-authoring apply for the new/reinstated dimensions (v1, 2026-07-14).",1,0,,0,
scripts_apply_role_reassess_v1_20260707,scripts/_apply_role_reassess_v1_20260707.py,"_apply_role_reassess_v1_20260707.py — Step (c) role reassessment, generalised per book.",1,0,,0,
scripts_apply_ruthlessness_sanitycheck_rerun_v4_20260702,scripts/_apply_ruthlessness_sanitycheck_rerun_v4_20260702.py,_apply_ruthlessness_sanitycheck_rerun_v4_20260702.py,1,0,,0,
scripts_apply_schema_ve_pairmodel_genre_v1_20260702,scripts/_apply_schema_ve_pairmodel_genre_v1_20260702.py,_apply_schema_ve_pairmodel_genre_v1_20260702.py,1,0,,0,
scripts_apply_seed_ib_characteristic_registry_v1_20260703,scripts/_apply_seed_ib_characteristic_registry_v1_20260703.py,Create + seed the inner-being CHARACTERISTIC control registry (ib_characteristic).,1,0,,0,
scripts_apply_sense_from_subgloss,scripts/_apply_sense_from_subgloss.py,"_apply_sense_from_subgloss.py (2026-06-15) — set VE1 (sense) in ve_lexical to the PER-OCCURRENCE STEP -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_apply_softdelete_excluded_empty_terms,scripts/_apply_softdelete_excluded_empty_terms.py,"_apply_softdelete_excluded_empty_terms.py (2026-06-15) — ground the canonical term list: -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_apply_softdelete_orphan_verses,scripts/_apply_softdelete_orphan_verses.py,"_apply_softdelete_orphan_verses.py — D2b option A (2026-06-15): soft-delete ACTIVE verses that are -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_apply_stamp_char_candidate_on_master_v1_20260708,scripts/_apply_stamp_char_candidate_on_master_v1_20260708.py,_apply_stamp_char_candidate_on_master_v1_20260708.py — M65: stamp the candidate-characteristic,1,0,,0,
scripts_apply_stem_patch,scripts/_apply_stem_patch.py,"Apply stem-extraction-patch-20260319-v1.json -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_apply_supersede_old_mechanical,scripts/_apply_supersede_old_mechanical.py,"_apply_supersede_old_mechanical.py — WRITES (reversible soft-delete). Supersedes the old l2_mechanical -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_apply_t2_soft_delete,scripts/_apply_t2_soft_delete.py,"_apply_t2_soft_delete.py — soft-delete Parked (T2) terms that NEVER co-occur with a characteristic. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_apply_term_decisions,scripts/_apply_term_decisions.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_term_decisions.py,1,0,,0,
scripts_apply_term_driven_lexical_ruthlessness_v7_20260702,scripts/_apply_term_driven_lexical_ruthlessness_v7_20260702.py,_apply_term_driven_lexical_ruthlessness_v7_20260702.py,1,0,,0,
scripts_apply_ve_lexical_phase1_archive_legacy_20260702,scripts/_apply_ve_lexical_phase1_archive_legacy_20260702.py,"_apply_ve_lexical_phase1_archive_legacy_20260702.py  (M63, schema -> 3.37.0)",1,0,,0,
scripts_apply_ve_lexical_span_keyable_v1_20260702,scripts/_apply_ve_lexical_span_keyable_v1_20260702.py,_apply_ve_lexical_span_keyable_v1_20260702.py,1,0,,0,
scripts_apply_ve_rebuild_mechanical_v1,scripts/_apply_ve_rebuild_mechanical_v1.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_ve_rebuild_mechanical_v1.py (2026-06-15) — mechanical rebuild of ve_lexical fields,1,0,,0,
scripts_apply_verse_read_meaning,scripts/_apply_verse_read_meaning.py,"NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _apply_verse_read_meaning.py — L2 VERSE-READ = MEANING pipeline (verse-complete, term-driven).",1,0,,0,
scripts_apply_verse_record_link_repair_all_ot_v1_20260708,scripts/_apply_verse_record_link_repair_all_ot_v1_20260708.py,"Verse-record -> verse / master-index link repair, WHOLE OT in one pass.",1,0,,0,
scripts_apply_verse_record_link_repair_v1_20260707,scripts/_apply_verse_record_link_repair_v1_20260707.py,"Verse-record -> verse / master-index link repair (per book, reusable).",1,0,,0,
scripts_apply_verse_record_structural_backfill_v1_20260705,scripts/_apply_verse_record_structural_backfill_v1_20260705.py,"_apply_verse_record_structural_backfill_v1_20260705.py — safe, determinate structural backfill.",1,0,,0,
scripts_apply_verse_record_traceability_v1_20260704,scripts/_apply_verse_record_traceability_v1_20260704.py,Add analysis-traceability columns to wa_verse_records (the primary control table).,1,0,,0,
scripts_apply_verse_uniqueness_cleanup,scripts/_apply_verse_uniqueness_cleanup.py,"_apply_verse_uniqueness_cleanup.py (2026-06-15) — move wa_verse_records toward ""one active row per -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_apply_vr_link_targetword_and_flag_v1_20260708,scripts/_apply_vr_link_targetword_and_flag_v1_20260708.py,Second-pass verse-record link repair for the multi-span (ambiguous) OT residual.,1,0,,0,
scripts_apply_wipe_ve_lexical_v1,scripts/_apply_wipe_ve_lexical_v1.py,"_apply_wipe_ve_lexical_v1.py (2026-06-15) — PERMANENTLY remove all rows from ve_lexical. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_apply_write_ruthlessness_index_driven_v3_20260702,scripts/_apply_write_ruthlessness_index_driven_v3_20260702.py,_apply_write_ruthlessness_index_driven_v3_20260702.py,1,0,,0,
scripts_apply_write_ruthlessness_lexical_v1_20260702,scripts/_apply_write_ruthlessness_lexical_v1_20260702.py,_apply_write_ruthlessness_lexical_v1_20260702.py,1,0,,0,
scripts_apply_write_ruthlessness_passages_full_v2_20260702,scripts/_apply_write_ruthlessness_passages_full_v2_20260702.py,_apply_write_ruthlessness_passages_full_v2_20260702.py,1,0,,0,
scripts_assess_cluster_profiles,scripts/_assess_cluster_profiles.py,"_assess_cluster_profiles.py — READ-ONLY. Per-cluster L1 profile correlated to the co-occurrence matrix: -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_cluster_v3_2_preeval,scripts/_assess_cluster_v3_2_preeval.py,"_assess_cluster_v3_2_preeval.py  — READ-ONLY V3_2 cluster pre-evaluation. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_corpus_keyword_map,scripts/_assess_corpus_keyword_map.py,"_assess_corpus_keyword_map.py — READ-ONLY. Corpus-wide PRELIMINARY keyword allocation: runs the validated -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_corpus_keyword_typed,scripts/_assess_corpus_keyword_typed.py,"_assess_corpus_keyword_typed.py — READ-ONLY. Corpus keyword map v2: each term gets its THING-TYPE -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_cross_cluster_cooccurrence,scripts/_assess_cross_cluster_cooccurrence.py,"_assess_cross_cluster_cooccurrence.py — READ-ONLY. The cross-cluster co-occurrence matrix: which -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_keyword_corpus_report,scripts/_assess_keyword_corpus_report.py,"_assess_keyword_corpus_report.py — READ-ONLY. Directional assessment of the corpus-wide keyword -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_keyword_overlap,scripts/_assess_keyword_overlap.py,"_assess_keyword_overlap.py — READ-ONLY. Cluster-level keyword overlap (angle 5). Builds each cluster's -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_l2_findings_view,scripts/_assess_l2_findings_view.py,"NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _assess_l2_findings_view.py — READ-ONLY. For each requested cluster, shows the L1 + L2 results per verse:",1,0,,0,
scripts_assess_l2_triage,scripts/_assess_l2_triage.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _assess_l2_triage.py — READ-ONLY. Runs the L2 MECHANICAL pass + ADEQUACY TRIAGE on every verse of a term:,1,0,,0,
scripts_assess_link_correlation,scripts/_assess_link_correlation.py,"_assess_link_correlation.py — READ-ONLY. The correlated roll-up: ties angle 1 (co-occurrence = CONTEXTUAL -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_meaning_tables,scripts/_assess_meaning_tables.py,"_assess_meaning_tables.py -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_mti_duplicate_terms,scripts/_assess_mti_duplicate_terms.py,"_assess_mti_duplicate_terms.py — READ-ONLY. Re-surfaces OT-DBR-009 (mti_terms duplication) from the -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_p2_verse_scenarios,scripts/_assess_p2_verse_scenarios.py,"_assess_p2_verse_scenarios.py — READ-ONLY. Types every verse of a cluster into the L2 decision-scenario -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_pipeline_integrity_v1_20260704,scripts/_assess_pipeline_integrity_v1_20260704.py,Read-only PIPELINE-INTEGRITY diagnostic for the verse-analysis (inner-being lexical) chain.,1,0,,0,
scripts_assess_qa_method_effectiveness,scripts/_assess_qa_method_effectiveness.py,"_assess_qa_method_effectiveness.py — read-only Q&A coverage extraction. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_qa_method_quality_review,scripts/_assess_qa_method_quality_review.py,"_assess_qa_method_quality_review.py — qualitative-review-oriented Q&A coverage. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_read_dedup,scripts/_assess_read_dedup.py,"_assess_read_dedup.py — READ-ONLY. Estimates how much the (expensive) read layer would DUPLICATE across -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_registry_grounding,scripts/_assess_registry_grounding.py,"_assess_registry_grounding.py — READ-ONLY. Tests the researcher's expectation: does every registry (anchor) -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_registry_vs_keywords,scripts/_assess_registry_vs_keywords.py,"_assess_registry_vs_keywords.py — READ-ONLY. Diagnoses WHY some of the 214 registry (anchor) words are -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_relationship_probe,scripts/_assess_relationship_probe.py,"NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _assess_relationship_probe.py — READ-ONLY. For a cluster PAIR, pull the verses where both co-occur and",1,0,,0,
scripts_assess_shared_forms,scripts/_assess_shared_forms.py,"_assess_shared_forms.py — READ-ONLY. Shared-form / homonym index: transliterations whose terms are -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_study_state,scripts/_assess_study_state.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). Read-only: render the live state of the verse-lexical study to ONE page (verse-analysis/_STATE.md).,1,0,,0,
scripts_assess_t2_cleanup,scripts/_assess_t2_cleanup.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _assess_t2_cleanup.py  — READ-ONLY. Proposes a disposition for every Parked (T2) cluster term.,1,0,,0,
scripts_assess_t2_relevance_surface,scripts/_assess_t2_relevance_surface.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _assess_t2_relevance_surface.py  — READ-ONLY.,1,0,,0,
scripts_assess_termsense_ranking,scripts/_assess_termsense_ranking.py,"_assess_termsense_ranking.py — READ-ONLY. Reasonability check on the read-dedup: ranks every (term, sense) -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_verse_assembly,scripts/_assess_verse_assembly.py,"_assess_verse_assembly.py — READ-ONLY. L1 establishment per verse for a cluster: assembles each verse's -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_assess_verse_corroboration,scripts/_assess_verse_corroboration.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _assess_verse_corroboration.py  — READ-ONLY (A1 verse-meaning corroboration scan).,1,0,,0,
scripts_assess_verse_raw_data,scripts/_assess_verse_raw_data.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). Read-only: assemble the FULL raw study evidence for a verse -> markdown.,1,0,,0,
scripts_audit_cluster_against_instruction_v25_v1_20260518,scripts/_audit_cluster_against_instruction_v25_v1_20260518.py,Audit a cluster against v2_5 instruction compliance.,1,0,,0,
scripts_audit_findings_v1_20260621,scripts/_audit_findings_v1_20260621.py,_audit_findings_v1_20260621.py — read-only findings audit (wa-findings-audit-spec-v1_0).,1,0,,0,
scripts_audit_gate1_additions_v1_20260706,scripts/_audit_gate1_additions_v1_20260706.py,Gate-1 onboarding audit — pre/post accountability for the orphan-term additions.,1,0,,0,
scripts_audit_step_extract_archiving,scripts/_audit_step_extract_archiving.py,"Auditor + applicator for STEP Extracts archiving. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_backfill_span_match,scripts/_backfill_span_match.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _backfill_span_match.py,1,0,,0,
scripts_batch_audit,scripts/_batch_audit.py,"_batch_audit.py — Run audit_word on all registries that need it. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_batch_extract,scripts/_batch_extract.py,"_batch_extract.py — Run STEP extraction for all words that need a discovery JSON. -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_build_M01_verse_read_review,scripts/_build_M01_verse_read_review.py,"_build_M01_verse_read_review.py — READ-ONLY. Full M01 verse-complete run review: coverage, cross-cluster -- INACTIVE 2026-08-18 (escalation #729): zero Cfg-method call sites, researcher decision (""set these 110 module to inactive; if the time arise when they need to be used, then the script can be updated to be fully compliant"") rather than config_exempt=1.",1,0,,0,
scripts_build_cluster_verse_read_gate,scripts/_build_cluster_verse_read_gate.py,NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _build_cluster_verse_read_gate.py — READ-ONLY. The standard PER-CLUSTER GATE report produced as each,1,0,,0,
scripts_build_gate1_registry_final_map_v1_20260706,scripts/_build_gate1_registry_final_map_v1_20260706.py,"Read-only: render the FINAL single-home-per-term registry mapping for the 97 gate1 orphans,",1,0,,0,
scripts_build_m04_characteristic_phase9_bundle_20260519,scripts/_build_m04_characteristic_phase9_bundle_20260519.py,Build a multi-characteristic Phase 9 AI package (bundle).,1,0,,0,
scripts_build_m04_characteristic_phase9_package_20260518,scripts/_build_m04_characteristic_phase9_package_20260518.py,Build a per-characteristic Phase 9 AI package for M04.,1,0,,0,
scripts_build_m08_characteristic_phase9_bundle_20260521,scripts/_build_m08_characteristic_phase9_bundle_20260521.py,Build a multi-characteristic Phase 9 AI package (bundle).,1,0,,0,
scripts_build_m08_characteristic_phase9_package_20260521,scripts/_build_m08_characteristic_phase9_package_20260521.py,Build a per-characteristic Phase 9 AI package for M08.,1,0,,0,
scripts_build_m10_unit_verse_evidence_20260623,scripts/_build_m10_unit_verse_evidence_20260623.py,"Emit the PER-VERSE structured evidence section for an M10 unit, from the on-disk",1,0,,0,
scripts_build_projection_v2_20260714,scripts/_build_projection_v2_20260714.py,"Build the flattened reading projection + technical data layer for a re-read book (v2, 2026-07-14).",1,0,,0,
scripts_build_ps119,scripts/_build_ps119.py,"NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). Persistent char-by-char builder for Ps 119 (641 candidates, 176 verses).",1,0,,0,
scripts_build_t2_flag_sample,scripts/_build_t2_flag_sample.py,"NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _build_t2_flag_sample.py — READ-ONLY. Shows real verses + meaning paragraphs from the T2 and FLAG buckets,",1,0,,0,
scripts_build_term_verse_findings_report,scripts/_build_term_verse_findings_report.py,"NON-COMPLIANT (escalation #648 -- hardcoded constant(s) that should be cfg_setting-driven; see iba/app/reports/hardcoded-constants-sweep-20260817.md). _build_term_verse_findings_report.py — READ-ONLY. For N terms, show up to K verses each with the verse",1,0,,0,
