key,value,use,module,inactive
governance.behaviour_boundary.backup_recovery,"""Backup/recovery and data-durability discipline is classified under the `sqlite` behaviour class (database-interaction discipline), not a separate class -- ensuring a write is replayable/captured is a database-state concern. Content: cfg_behaviour_rule (sqlite, writes-must-be-replayable).""","boundary decision -- backup/durability class placement, escalation #715 cycle 3",governance,0
governance.procedural_document_taxonomy,"""A procedural document (going forward) is exactly one of: (a) planning/investigatory -- plans, explorations, decision docs; (b) config-extract -- generated (not hand-authored) from cfg_* for easier digesting, e.g. CONFIG-REPORT.md, cfg-rules-overview-*; (c) history-of-changes -- BUILD.md-shaped change records, arguably DB/engine-resident rather than a document long-term; (d) guidance/baseline instructions -- GOVERNANCE.md, USER-GUIDE.md, CLAUDE.md-shaped. Researcher's own framing, 2026-08-18 (comments-operational-behaviour-plan). Applying this taxonomy to the full existing document set is not done here -- a follow-on cycle.""","the 4-way procedural-document taxonomy named directly by the researcher, escalation #715 cycle 3 -- not yet applied to the existing document set",governance,0
behaviour.list_report_path,"""outputs/configs/behaviour-rules-list.md""",output path for Behaviour.ps1 -Action List / python -m iba.app.lib.behaviour list,behaviour,0
governance.engineering_documentation_folder,"""iba/docs/ is the designated home for IBA-side engineering/planning documentation (design docs, plans, gap analyses, investigation write-ups) -- procedural_document_taxonomy category (a). Already functioning as this in practice (30+ files); this setting states it as governance rather than leaving it implicit. Main-project-side consolidation of the equivalent scattered content (docs/, research/investigations/, Workflow/methodology/) is a separate, larger, not-yet-decided item, parked alongside escalation #650's filing review -- not resolved here.""","boundary/location decision -- engineering documentation folder, escalation #732 cycle 4",governance,0
escalation.history_report_dir,"""outputs/escalation""",,escalation,0
raw.zero_strongs_action,"""reject""","What discover() does when a word resolves to zero strongs: 'reject' (default, researcher 2026-08-22 -- 'it should not happen', treated as anomalous every time until decided otherwise for a specific case) or 'proceed' (register the word anyway with zero strongs, no escalation).",raw,0
governance.module_utility_test_plan,"""From now on, case-by-case as development happens (not retrofitted): every module/utility design must include a test plan covering all its meaningful interaction/parameter/option combinations; the test plan is kept current (updated in the same unit of work whenever the functional component changes); it is RUN after the approved design is built, as a required stage of the existing plan/propose/design -> approve -> build -> approve cycle; and its actual results are included in the build's escalation resolution, not just asserted. Full rationale and origin: cfg_behaviour_rule (development/test-plan-per-module-utility).""","Read explicitly every session by init.py's governance-rules printout (Start-Iba.ps1) -- the only real enforcement a process rule like this has. Applies project-wide, not IBA-only, same as governance.operational_behaviour_control.",governance,0
governance.session_log_required_content,"""A session log (Logs/SESSION-LOG-*.md) must, at minimum, carry: (1) date and a one-line scope summary of the session; (2) every escalation touched, by id, with its outcome (raised/updated/resolved/rejected) -- not narrative paraphrase, the actual ids; (3) every file or deliverable created or changed, with its path; (4) decisions made, distinguishing which were the researcher's own decision vs a self_correctable fix Claude made and closed directly; (5) open items carried into the next session -- what is left, and for whom; (6) confirmation of the git state this log's own completion triggers (governance.session_log_triggers_commit): branch, commit hash, and that the push succeeded -- not asserted, the actual git status/log output. A log missing any of these is incomplete, not merely terse.""","Answers escalation #911 (2026-08-27): the content a session log must carry, previously unstated anywhere in cfg_* or governance prose -- only governance.session_log_dir (where) and governance.session_log_triggers_commit (the commit consequence) existed. Derived from the log's own stated purpose (continuity across sessions) and the existing patch/escalation convention of naming ids and files explicitly rather than narrating them, not from reading prior logs for precedent (governance.past_precedent_investigation_signals_missing_config).",governance,0
configmaint.csv_export_dir,"""workflow/schema""","folder for the per-cfg_*-table CSV pairing that accompanies CONFIG-REPORT.md (reportkit.write_csv_pairing) -- independently repointable, no longer hardcoded as a sibling of configmaint.report_path",configmaint,0
registry.folder_naming_convention,"""_analytics/Registry per-word subfolders (report.strong_verse_output_dir) must be named {word_registry.id zero-padded 3 digits}_{word, lowercase, spaces as hyphens} -- e.g. 020_compassion. id comes from the LIVE iba.db word_registry table, never bible_research.dbs legacy numbering (the two differ; confirmed live 2026-08-28 while reorganising 27 stale/unnumbered folders and 249 loose files under _analytics/word_registry).""","the folder-naming rule for per-word registry output, so it stays config-governed rather than a one-off manual cleanup that can silently drift again",registry,0
report.book_folder_naming_convention,"""_analytics/Bible_Books subfolders (report.verse_analysis_output_dir and every book-scoped report) must be named EXACTLY as cfg_book_order.book (the OSIS abbreviation verse.osisId itself uses, e.g. Gen, 1Chr, Song) -- never a full book name or a lowercase variant. Confirmed live 2026-08-28: all 66 canonical books present, 35 folders renamed off full-name/lowercase variants to match.""","the folder-naming rule for per-book output, keyed to the same book identifier verse references use, so there is no mis-filing risk working with verse references",report,0
