"strong","term","source","ib_relevance"
"G0803","pledge","lsj","Could impact IB"
"G0803","eight","lsj","Not relevant"
"G0803","security","meaning_tree","Could impact IB"
"G0803","safety","meaning_tree","Could impact IB"
"G0803","certainty","meaning_tree","Could impact IB"
"G0803","truth","meaning_tree","IB related"
"G0803","firmness","meaning_tree","Could impact IB"
"G0803","means of security","meaning_tree","Could impact IB"
"G0804","safe","mounce","Could impact IB"
"G0804","firm","mounce","Could impact IB"
"G0804","certain","mounce","Not relevant"
"G0804","definite","mounce","Could impact IB"
"G0804","the truth","mounce","IB related"
"G0804","not liable to fall","lsj","Could impact IB"
"G0804","immovable","lsj","Could impact IB"
"G0804","steadfast","lsj","Could impact IB"
"G0804","unshaken","lsj","Could impact IB"
"G0804","unfailing","lsj","Could impact IB"
"G0804","trusty","lsj","Could impact IB"
"G0804","safe","lsj","Could impact IB"
"G0804","sure","lsj","Could impact IB"
"G0804","certain","lsj","Not relevant"
"G0804","assured from danger","lsj","Could impact IB"
"G0804","safety","lsj","Could impact IB"
"G0804","a place of safety","lsj","Could impact IB"
"G0804","no risk to","lsj","Could impact IB"
"G0804","it is safe","lsj","Could impact IB"
"G0804","convincing","lsj","Could impact IB"
"G0804","sound","lsj","Could impact IB"
"G0804","not risky","lsj","Could impact IB"
"G0804","firm","lsj","Could impact IB"
"G0804","steady","lsj","Could impact IB"
"G0804","without faltering","lsj","Could impact IB"
"G0804","in safety","lsj","Could impact IB"
"G0804","with certainty","lsj","Could impact IB"
"G0804","as a precaution","lsj","Could impact IB"
"G0804","safe","meaning_tree","Could impact IB"
"G0804","firm","meaning_tree","Could impact IB"
"G0804","certain","meaning_tree","Not relevant"
"G0804","definite","meaning_tree","Could impact IB"
"G0804","the truth","meaning_tree","IB related"
"G0804","secure from falling","meaning_tree","Could impact IB"
"G0804","sure","meaning_tree","Could impact IB"
"G0804","steady","meaning_tree","Could impact IB"
"G0804","immovable","meaning_tree","Could impact IB"
"G0804","making secure","meaning_tree","Could impact IB"
"G0808","indecent act","mounce","Could impact IB"
"G0808","shame","mounce","IB related"
"G0808","want of form","lsj","Could impact IB"
"G0808","ungracefulness","lsj","Could impact IB"
"G0808","awkwardness","lsj","Could impact IB"
"G0808","disfigurement","lsj","Could impact IB"
"G0808","discredit","lsj","Could impact IB"
"G0808","disgrace","lsj","IB related"
"G0808","indecorum","lsj","Could impact IB"
"G0808","obscene","lsj","Could impact IB"
"G0808","disgraceful conduct","lsj","IB related"
"G0808","indecent act","meaning_tree","Could impact IB"
"G0808","shame","meaning_tree","IB related"
"G0808","external indecorum","meaning_tree","Could impact IB"
"G0808","nakedness","meaning_tree","Could impact IB"
"G0808","pudenda","meaning_tree","Could impact IB"
"G0808","indecency","meaning_tree","Could impact IB"
"G0808","infamous lust","meaning_tree","IB related"
"G0808","lewdness","meaning_tree","Could impact IB"
"G0810","debauchery","mounce","Could impact IB"
"G0810","dissipation","mounce","Could impact IB"
"G0810","wildness","mounce","Could impact IB"
"G0810","prodigality","lsj","Could impact IB"
"G0810","wastefulness","lsj","Could impact IB"
"G0810","profligacy","lsj","Could impact IB"
"G0810","debauchery","meaning_tree","Could impact IB"
"G0810","dissipation","meaning_tree","Could impact IB"
"G0810","wildness","meaning_tree","Could impact IB"
"G0810","dissoluteness","meaning_tree","Could impact IB"
"G0811","wildly","mounce","Could impact IB"
"G0811","in debauchery","mounce","Could impact IB"
"G0811","in dissipation","mounce","Could impact IB"
"G0811","having no hope of safety","lsj","IB related"
"G0811","in desperate case","lsj","Could impact IB"
"G0811","past recovery","lsj","Could impact IB"
"G0811","abandoned","lsj","Could impact IB"
"G0811","spendthrift","lsj","Could impact IB"
"G0811","profligate","lsj","Could impact IB"
"G0811","bringing destruction on","lsj","Could impact IB"
"G0811","wildly","meaning_tree","Could impact IB"
"G0811","in debauchery","meaning_tree","Could impact IB"
"G0811","in dissipation","meaning_tree","Could impact IB"
"G0811","dissolutely","meaning_tree","Could impact IB"
"G0811","loosely","meaning_tree","Could impact IB"
"G0812","to be idle","mounce","Could impact IB"
"G0812","lazy","mounce","Could impact IB"
"G0812","to be undisciplined","lsj","Could impact IB"
"G0812","neglect one's duty","lsj","Could impact IB"
"G0812","fail to discharge obligation","lsj","Could impact IB"
"G0812","lead a disorderly life","lsj","Could impact IB"
"G0812","to desert","lsj","Not relevant"
"G0812","raise a riot","lsj","Could impact IB"
"G0812","rebellion","lsj","IB related"
"G0812","to be idle","meaning_tree","Could impact IB"
"G0812","lazy","meaning_tree","Could impact IB"
"G0812","to infringe","meaning_tree","Could impact IB"
"G0812","order","meaning_tree","Could impact IB"
"G0812","to be irregular","meaning_tree","Could impact IB"
"G0812","behave disorderly","meaning_tree","Could impact IB"
"G0812","to be lazy","meaning_tree","Could impact IB"
"G0816","to look intently","mounce","IB related"
"G0816","gaze","mounce","Could impact IB"
"G0816","stare","mounce","Could impact IB"
"G0816","look intently","lsj","IB related"
"G0816","gaze earnestly","lsj","Could impact IB"
"G0816","stare","lsj","Could impact IB"
"G0816","to be gazed upon","lsj","Could impact IB"
"G0816","to be obstinate","lsj","Could impact IB"
"G0816","to look intently","meaning_tree","IB related"
"G0816","gaze","meaning_tree","Could impact IB"
"G0816","stare","meaning_tree","Could impact IB"
"G0816","look steadily","meaning_tree","Could impact IB"
"G0816","gaze intently","meaning_tree","IB related"
"G0818","to dishonor","mounce","IB related"
"G0818","disgrace","mounce","IB related"
"G0818","treat shamefully","mounce","IB related"
"G0818","insult","mounce","Could impact IB"
"G0818","hold in no honour","lsj","IB related"
"G0818","esteem lightly","lsj","Could impact IB"
"G0818","bring dishonour upon","lsj","IB related"
"G0818","speakest in dishonour of","lsj","IB related"
"G0818","suffer dishonour","lsj","IB related"
"G0818","insult","lsj","Could impact IB"
"G0818","put to shame by","lsj","IB related"
"G0818","treat as unworthy of","lsj","Could impact IB"
"G0818","do","lsj","Not relevant"
"G0818","deem","lsj","Could impact IB"
"G0818","unworthy","lsj","Could impact IB"
"G0818","will","lsj","Not relevant"
"G0818","disdain","lsj","IB related"
"G0818","disfranchise","lsj","Could impact IB"
"G0818","punish with ignominia","lsj","Could impact IB"
"G0818","to dishonor","meaning_tree","IB related"
"G0818","disgrace","meaning_tree","IB related"
"G0818","treat shamefully","meaning_tree","IB related"
"G0818","insult","meaning_tree","Could impact IB"
"G0818","slight","meaning_tree","Could impact IB"
"G0818","to abuse","meaning_tree","Could impact IB"
"G0818","debase","meaning_tree","Could impact IB"
"G0819","dishonor","mounce","IB related"
"G0819","disgrace","mounce","IB related"
"G0819","shame","mounce","IB related"
"G0819","common use","mounce","Could impact IB"
"G0819","dishonour","lsj","IB related"
"G0819","disgrace","lsj","IB related"
"G0819","dishonour done to","lsj","IB related"
"G0819","indignities","lsj","Could impact IB"
"G0819","deprivation of privileges","lsj","Could impact IB"
"G0819","of civic rights","lsj","Could impact IB"
"G0819","sorry","lsj","Could impact IB"
"G0819","dishonor","meaning_tree","IB related"
"G0819","disgrace","meaning_tree","IB related"
"G0819","shame","meaning_tree","IB related"
"G0819","common use","meaning_tree","Could impact IB"
"G0819","infamy","meaning_tree","Could impact IB"
"G0819","meanness","meaning_tree","Could impact IB"
"G0819","vileness","meaning_tree","Could impact IB"
"G0819","slightingly","meaning_tree","Could impact IB"
"G0819","disparagingly","meaning_tree","Could impact IB"
"G0824","wrong","mounce","Could impact IB"
"G0824","wicked","mounce","IB related"
"G0824","unusual","mounce","Could impact IB"
"G0824","surprising","mounce","Could impact IB"
"G0824","out of place","lsj","Not relevant"
"G0824","out of the way","lsj","Not relevant"
"G0824","unwonted","lsj","Could impact IB"
"G0824","extraordinary","lsj","Could impact IB"
"G0824","strange","lsj","Could impact IB"
"G0824","paradoxical","lsj","Could impact IB"
"G0824","paradox","lsj","Could impact IB"
"G0824","absurd","lsj","Could impact IB"
"G0824","given to strange","lsj","Could impact IB"
"G0824","unnatural","lsj","Could impact IB"
"G0824","disgusting","lsj","IB related"
"G0824","foul","lsj","Could impact IB"
"G0824","monstrous","lsj","Could impact IB"
"G0824","wicked","lsj","IB related"
"G0824","wrong","lsj","Could impact IB"
"G0824","bad","lsj","Could impact IB"
"G0824","harmful","lsj","Could impact IB"
"G0824","in an unfavourable position","lsj","Could impact IB"
"G0824","marvellously","lsj","Could impact IB"
"G0824","absurdly","lsj","Could impact IB"
"G0824","non-spatial","lsj","Could impact IB"
"G0824","non-spatially","lsj","Could impact IB"
"G0824","wrong","meaning_tree","Could impact IB"
"G0824","wicked","meaning_tree","IB related"
"G0824","unusual","meaning_tree","Could impact IB"
"G0824","surprising","meaning_tree","Could impact IB"
"G0824","out of place","meaning_tree","Not relevant"
"G0824","inopportune","meaning_tree","Could impact IB"
"G0824","unsuitable","meaning_tree","Could impact IB"
"G0824","absurd","meaning_tree","Could impact IB"
"G0824","new","meaning_tree","Not relevant"
"G0824","strange","meaning_tree","Could impact IB"
"G0824","improper","meaning_tree","Could impact IB"
"G0824","amiss","meaning_tree","Could impact IB"
"G0824","noxious","meaning_tree","Could impact IB"
"G0824","harmful","meaning_tree","Could impact IB"
"G0829","overbearing","mounce","Could impact IB"
"G0829","arrogant","mounce","Could impact IB"
"G0829","stubborn","mounce","Could impact IB"
"G0829","self-willed","mounce","Could impact IB"
"G0829","self-willed","lsj","Could impact IB"
"G0829","stubborn","lsj","Could impact IB"
"G0829","surly","lsj","Could impact IB"
"G0829","remorseless","lsj","IB related"
"G0829","overbearing","meaning_tree","Could impact IB"
"G0829","arrogant","meaning_tree","Could impact IB"
"G0829","stubborn","meaning_tree","Could impact IB"
"G0829","self-willed","meaning_tree","Could impact IB"
"G0829","willful","meaning_tree","IB related"
"G0829","obstinate","meaning_tree","Could impact IB"
"G0830","self-chosen","lsj","Could impact IB"
"G0830","self-elected","lsj","Could impact IB"
"G0830","voluntary","lsj","Could impact IB"
"G0830","by free choice","lsj","IB related"
"G0830","of one-self","lsj","Could impact IB"
"G0830","independent","lsj","Could impact IB"
"G0830","free","lsj","Could impact IB"
"G0830","due to one's own choice","lsj","IB related"
"G0830","self-incurred","lsj","Could impact IB"
"G0830","of free choice","lsj","IB related"
"G0830","independently","lsj","Could impact IB"
"G0830","acting spontaneously","meaning_tree","Could impact IB"
"G0831","to have full power","lsj","Could impact IB"
"G0831","authority over","lsj","Could impact IB"
"G0831","commit a murder","lsj","Could impact IB"
"G0831","domineer","meaning_tree","Could impact IB"
"G0832","play on the flute","lsj","Could impact IB"
"G0832","play","lsj","Could impact IB"
"G0832","to be played on the flute","lsj","Could impact IB"
"G0832","is filled with music","lsj","Could impact IB"
"G0832","play to","lsj","Could impact IB"
"G0832","to be played to","lsj","Could impact IB"
"G0832","hear music","lsj","Could impact IB"
"G0832","flute","meaning_tree","Could impact IB"
"G0832","pipe","meaning_tree","Could impact IB"
"G0835","find lodging","mounce","Could impact IB"
"G0835","lie in the","lsj","Not relevant"
"G0835","courtyard","lsj","Could impact IB"
"G0835","take up one's abode","lsj","Could impact IB"
"G0835","lodge","lsj","Could impact IB"
"G0835","live","lsj","Not relevant"
"G0835","passed the night","lsj","Not relevant"
"G0835","encamp","lsj","Could impact IB"
"G0835","bivouac","lsj","Could impact IB"
"G0835","settle","lsj","Could impact IB"
"G0835","cause to dwell","lsj","Could impact IB"
"G0835","find lodging","meaning_tree","Could impact IB"
"G0835","to lodge","meaning_tree","Could impact IB"
"G0835","pass","meaning_tree","Not relevant"
"G0841","contentment","mounce","IB related"
"G0841","sufficiency","mounce","Could impact IB"
"G0841","self-sufficiency","lsj","Could impact IB"
"G0841","independence","lsj","Could impact IB"
"G0841","a sufficiency","lsj","Could impact IB"
"G0841","a competence","lsj","Could impact IB"
"G0841","contentment","meaning_tree","IB related"
"G0841","sufficiency","meaning_tree","Could impact IB"
"G0841","contentedness","meaning_tree","Could impact IB"
"G0842","content","mounce","Could impact IB"
"G0842","(possibly) self-sufficient","mounce","Could impact IB"
"G0842","sufficient in oneself","lsj","Could impact IB"
"G0842","self-supporting","lsj","Could impact IB"
"G0842","independent","lsj","Could impact IB"
"G0842","helping itself","lsj","Could impact IB"
"G0842","acting instinctively","lsj","Could impact IB"
"G0842","self-reliant","lsj","Could impact IB"
"G0842","strong enough","lsj","Could impact IB"
"G0842","able of oneself","lsj","Could impact IB"
"G0842","sufficient","lsj","Could impact IB"
"G0842","sufficiently","lsj","Could impact IB"
"G0842","content","meaning_tree","Could impact IB"
"G0842","(possibly) self-sufficient","meaning_tree","Could impact IB"
"G0842","sufficient","meaning_tree","Could impact IB"
"G0843","self-condemned","mounce","Could impact IB"
"G0843","self-condemned","lsj","Could impact IB"
"G0843","self-condemned","meaning_tree","Could impact IB"
"G0850","dark","mounce","Could impact IB"
"G0850","dry","lsj","Could impact IB"
"G0850","without rain","lsj","Could impact IB"
"G0850","parched","lsj","Could impact IB"
"G0850","parching","lsj","Could impact IB"
"G0850","rough","lsj","Could impact IB"
"G0850","squalid","lsj","Could impact IB"
"G0850","miserable","lsj","Could impact IB"
"G0850","squalid","meaning_tree","Could impact IB"
"G0850","filthy","meaning_tree","Could impact IB"
"G0850","dark","meaning_tree","Could impact IB"
"G0850","obscure","meaning_tree","Could impact IB"
"G0850","murky","meaning_tree","Could impact IB"
"G0853","to destroy","mounce","Not relevant"
"G0853","disfigure","mounce","Could impact IB"
"G0853","to perish","mounce","Could impact IB"
"G0853","vanish","mounce","Could impact IB"
"G0853","disappear","mounce","Could impact IB"
"G0853","make unseen","lsj","Could impact IB"
"G0853","hide","lsj","Could impact IB"
"G0853","hush up","lsj","Could impact IB"
"G0853","lose sight of","lsj","Could impact IB"
"G0853","do away with","lsj","Not relevant"
"G0853","reject","lsj","Could impact IB"
"G0853","make away with","lsj","Not relevant"
"G0853","concealed","lsj","Could impact IB"
"G0853","suppressed","lsj","Could impact IB"
"G0853","remove","lsj","Could impact IB"
"G0853","carry","lsj","Not relevant"
"G0853","off from","lsj","Not relevant"
"G0853","disappear","lsj","Could impact IB"
"G0853","destroy","lsj","Not relevant"
"G0853","obliterate","lsj","Could impact IB"
"G0853","spirit away","lsj","IB related"
"G0853","get rid of","lsj","Could impact IB"
"G0853","secrete","lsj","Could impact IB"
"G0853","steal","lsj","Could impact IB"
"G0853","obscure","lsj","Could impact IB"
"G0853","mar","lsj","Could impact IB"
"G0853","wipe out","lsj","Could impact IB"
"G0853","wasting","lsj","Could impact IB"
"G0853","disguise","lsj","Could impact IB"
"G0853","artificial disfigurement","lsj","Could impact IB"
"G0853","spoil","lsj","Could impact IB"
"G0853","conceal the existence of","lsj","Could impact IB"
"G0853","drain","lsj","Could impact IB"
"G0853","be missing","lsj","Could impact IB"
"G0853","buried","lsj","Could impact IB"
"G0853","lost","lsj","Could impact IB"
"G0853","disappeared","lsj","Could impact IB"
"G0853","live retired","lsj","Could impact IB"
"G0853","to destroy","meaning_tree","Not relevant"
"G0853","disfigure","meaning_tree","Could impact IB"
"G0853","to perish","meaning_tree","Could impact IB"
"G0853","vanish","meaning_tree","Could impact IB"
"G0853","disappear","meaning_tree","Could impact IB"
"G0853","cause to disappear","meaning_tree","Could impact IB"
"G0853","to disappear","meaning_tree","Could impact IB"
"G0853","consume","meaning_tree","Could impact IB"
"G0853","to spoil","meaning_tree","Could impact IB"
"G0853","deform","meaning_tree","Could impact IB"
"G0858","sincerity","mounce","IB related"
"G0858","simplicity","mounce","Could impact IB"
"G0858","simplicity","lsj","Could impact IB"
"G0858","unworldliness","lsj","Could impact IB"
"G0858","sincerity","meaning_tree","IB related"
"G0858","simplicity","meaning_tree","Could impact IB"
"G0859","forgiveness","mounce","Could impact IB"
"G0859","pardon","mounce","Could impact IB"
"G0859","release","mounce","Could impact IB"
"G0859","letting go","lsj","Could impact IB"
"G0859","release","lsj","Could impact IB"
"G0859","in private hands","lsj","Could impact IB"
"G0859","dismissal","lsj","Could impact IB"
"G0859","quittance from","lsj","Could impact IB"
"G0859","discharge from","lsj","Could impact IB"
"G0859","exemption from attendance","lsj","Could impact IB"
"G0859","leave of absence","lsj","Could impact IB"
"G0859","exemption from","lsj","Could impact IB"
"G0859","remission","lsj","Could impact IB"
"G0859","forgiveness","lsj","Could impact IB"
"G0859","relaxation","lsj","Could impact IB"
"G0859","exhaustion","lsj","Could impact IB"
"G0859","divorce","lsj","Could impact IB"
"G0859","starting","lsj","Could impact IB"
"G0859","starting-post","lsj","Could impact IB"
"G0859","the first start","lsj","Could impact IB"
"G0859","beginning","lsj","Could impact IB"
"G0859","discharge","lsj","Could impact IB"
"G0859","emission","lsj","Could impact IB"
"G0859","the dropping","lsj","Could impact IB"
"G0859","conduit","lsj","Could impact IB"
"G0859","sluice","lsj","Could impact IB"
"G0859","channels","lsj","Could impact IB"
"G0859","reckoning of the vital quadrant","lsj","Could impact IB"
"G0859","starting from","lsj","Could impact IB"
"G0859","forgiveness","meaning_tree","Could impact IB"
"G0859","pardon","meaning_tree","Could impact IB"
"G0859","release","meaning_tree","Could impact IB"
"G0859","dismission","meaning_tree","Could impact IB"
"G0859","deliverance","meaning_tree","Could impact IB"
"G0859","remission","meaning_tree","Could impact IB"
"G0861","imperishableness","mounce","Could impact IB"
"G0861","immortality","mounce","Could impact IB"
"G0861","incorruption","lsj","Could impact IB"
"G0861","immortality","lsj","Could impact IB"
"G0861","integrity","lsj","IB related"
"G0861","sincerity","lsj","IB related"
"G0861","imperishableness","meaning_tree","Could impact IB"
"G0861","immortality","meaning_tree","Could impact IB"
"G0861","incorruptibility","meaning_tree","Could impact IB"
"G0861","soundness","meaning_tree","Could impact IB"
"G0861","purity","meaning_tree","IB related"
"G0861","purely","meaning_tree","IB related"
"G0861","sincerely","meaning_tree","Could impact IB"
"G0861","constantly","meaning_tree","Could impact IB"
"G0861","unfailingly","meaning_tree","Could impact IB"
"G0862","imperishable","mounce","Could impact IB"
"G0862","immortal","mounce","Could impact IB"
"G0862","lasting forever","mounce","Could impact IB"
"G0862","uncorrupted","lsj","Could impact IB"
"G0862","undecaying","lsj","Could impact IB"
"G0862","incorruptible","lsj","Could impact IB"
"G0862","eternal","lsj","Could impact IB"
"G0862","immortal","lsj","Could impact IB"
"G0862","imperishable","meaning_tree","Could impact IB"
"G0862","immortal","meaning_tree","Could impact IB"
"G0862","lasting forever","meaning_tree","Could impact IB"
"G0862","incorruptible","meaning_tree","Could impact IB"
"G0862","undying","meaning_tree","Could impact IB"
"G0862","enduring","meaning_tree","Could impact IB"
"G0863","to forgive","meaning_tree","Could impact IB"
"G0863","pardon","meaning_tree","Could impact IB"
"G0863","remit","meaning_tree","Could impact IB"
"G0863","cancel","meaning_tree","Could impact IB"
"G0863","to leave","meaning_tree","Not relevant"
"G0863","abandon","meaning_tree","Could impact IB"
"G0863","to allow","meaning_tree","Could impact IB"
"G0863","permit","meaning_tree","Could impact IB"
"G0863","tolerate","meaning_tree","Could impact IB"
"G0863","to send away","meaning_tree","Not relevant"
"G0863","dismiss","meaning_tree","Could impact IB"
"G0863","suffer to depart","meaning_tree","Could impact IB"
"G0863","to emit","meaning_tree","Could impact IB"
"G0863","send forth","meaning_tree","Could impact IB"
"G0863","the voice","meaning_tree","Could impact IB"
"G0863","to cry out","meaning_tree","Could impact IB"
"G0863","utter an exclamation","meaning_tree","Could impact IB"
"G0863","the spirit","meaning_tree","IB related"
"G0863","to expire","meaning_tree","Could impact IB"
"G0863","to omit","meaning_tree","Could impact IB"
"G0863","pass over","meaning_tree","Not relevant"
"G0863","by","meaning_tree","Not relevant"
"G0863","to let alone","meaning_tree","Could impact IB"
"G0863","care not for","meaning_tree","Could impact IB"
"G0863","to permit","meaning_tree","Could impact IB"
"G0863","suffer","meaning_tree","Could impact IB"
"G0863","allow","meaning_tree","Could impact IB"
"G0863","let","meaning_tree","Could impact IB"
"G0863","forbid not","meaning_tree","Could impact IB"
"G0863","to give up","meaning_tree","Not relevant"
"G0863","yield","meaning_tree","Could impact IB"
"G0863","resign","meaning_tree","Could impact IB"
"G0863","to remit","meaning_tree","Could impact IB"
"G0863","forgive","meaning_tree","Could impact IB"
"G0863","to relax","meaning_tree","Could impact IB"
"G0863","depart from","meaning_tree","Could impact IB"
"G0863","to desert","meaning_tree","Not relevant"
"G0863","forsake","meaning_tree","Could impact IB"
"G0863","to leave remaining","meaning_tree","Could impact IB"
"G0863","alone","meaning_tree","Could impact IB"
"G0863","to leave behind","meaning_tree","Not relevant"
"G0863G","leave/abandon","mounce","Could impact IB"
"G0863G","to forgive","mounce","Could impact IB"
"G0863G","pardon","mounce","Could impact IB"
"G0863G","remit","mounce","Could impact IB"
"G0863G","cancel","mounce","Could impact IB"
"G0863G","to leave","mounce","Not relevant"
"G0863G","abandon","mounce","Could impact IB"
"G0863G","to allow","mounce","Could impact IB"
"G0863G","permit","mounce","Could impact IB"
"G0863G","tolerate","mounce","Could impact IB"
"G0863G","send forth","lsj","Could impact IB"
"G0863G","discharge","lsj","Could impact IB"
"G0863G","throw oneself","lsj","Could impact IB"
"G0863G","give oneself up","lsj","Could impact IB"
"G0863G","let loose","lsj","Could impact IB"
"G0863G","make","lsj","Not relevant"
"G0863G","give vent to","lsj","Could impact IB"
"G0863G","vent","lsj","Could impact IB"
"G0863G","shed","lsj","Could impact IB"
"G0863G","change","lsj","Could impact IB"
"G0863G","emit","lsj","Could impact IB"
"G0863G","putting forth","lsj","Could impact IB"
"G0863G","put forth","lsj","Could impact IB"
"G0863G","produce","lsj","Could impact IB"
"G0863G","leave","lsj","Not relevant"
"G0863G","to be emitted","lsj","Could impact IB"
"G0863G","to be let go","lsj","Could impact IB"
"G0863G","launched","lsj","Could impact IB"
"G0863G","let fall","lsj","Could impact IB"
"G0863G","give up","lsj","Not relevant"
"G0863G","hand over to","lsj","Not relevant"
"G0863G","send away","lsj","Not relevant"
"G0863G","let go","lsj","Could impact IB"
"G0863G","loose","lsj","Could impact IB"
"G0863G","set free","lsj","Could impact IB"
"G0863G","release from","lsj","Could impact IB"
"G0863G","acquit of","lsj","Could impact IB"
"G0863G","acquit","lsj","Could impact IB"
"G0863G","released","lsj","Could impact IB"
"G0863G","dissolve","lsj","Could impact IB"
"G0863G","disband","lsj","Could impact IB"
"G0863G","dismiss","lsj","Could impact IB"
"G0863G","put away","lsj","Not relevant"
"G0863G","divorce","lsj","Could impact IB"
"G0863G","break off","lsj","Could impact IB"
"G0863G","disown","lsj","Could impact IB"
"G0863G","releasing","lsj","Could impact IB"
"G0863G","dedicate","lsj","Could impact IB"
"G0863G","get rid of","lsj","Could impact IB"
"G0863G","slackened","lsj","Could impact IB"
"G0863G","leave off","lsj","Not relevant"
"G0863G","remit","lsj","Could impact IB"
"G0863G","excuse","lsj","Could impact IB"
"G0863G","leave alone","lsj","Could impact IB"
"G0863G","pass by","lsj","Not relevant"
"G0863G","neglect","lsj","Could impact IB"
"G0863G","missum fiat","lsj","Could impact IB"
"G0863G","let","lsj","Could impact IB"
"G0863G","suffer","lsj","Could impact IB"
"G0863G","permit","lsj","Could impact IB"
"G0863G","break up","lsj","Could impact IB"
"G0863G","march","lsj","Could impact IB"
"G0863G","sail","lsj","Could impact IB"
"G0863G","send forth from oneself","lsj","Could impact IB"
"G0863G","of one's own from","lsj","Not relevant"
"G0863G","loosed","lsj","Could impact IB"
"G0863G","her","lsj","Not relevant"
"G0863G","from off","lsj","Not relevant"
"G0863G","let go of","lsj","Could impact IB"
"G0863H","forgive","mounce","Could impact IB"
"G0863H","to forgive","mounce","Could impact IB"
"G0863H","pardon","mounce","Could impact IB"
"G0863H","remit","mounce","Could impact IB"
"G0863H","cancel","mounce","Could impact IB"
"G0863H","to leave","mounce","Not relevant"
"G0863H","abandon","mounce","Could impact IB"
"G0863H","to allow","mounce","Could impact IB"
"G0863H","permit","mounce","Could impact IB"
"G0863H","tolerate","mounce","Could impact IB"
"G0863H","send forth","lsj","Could impact IB"
"G0863H","discharge","lsj","Could impact IB"
"G0863H","throw oneself","lsj","Could impact IB"
"G0863H","give oneself up","lsj","Could impact IB"
"G0863H","let loose","lsj","Could impact IB"
"G0863H","make","lsj","Not relevant"
"G0863H","give vent to","lsj","Could impact IB"
"G0863H","vent","lsj","Could impact IB"
"G0863H","shed","lsj","Could impact IB"
"G0863H","change","lsj","Could impact IB"
"G0863H","emit","lsj","Could impact IB"
"G0863H","putting forth","lsj","Could impact IB"
"G0863H","put forth","lsj","Could impact IB"
"G0863H","produce","lsj","Could impact IB"
"G0863H","leave","lsj","Not relevant"
"G0863H","to be emitted","lsj","Could impact IB"
"G0863H","to be let go","lsj","Could impact IB"
"G0863H","launched","lsj","Could impact IB"
"G0863H","let fall","lsj","Could impact IB"
"G0863H","give up","lsj","Not relevant"
"G0863H","hand over to","lsj","Not relevant"
"G0863H","send away","lsj","Not relevant"
"G0863H","let go","lsj","Could impact IB"
"G0863H","loose","lsj","Could impact IB"
"G0863H","set free","lsj","Could impact IB"
"G0863H","release from","lsj","Could impact IB"
"G0863H","acquit of","lsj","Could impact IB"
"G0863H","acquit","lsj","Could impact IB"
"G0863H","released","lsj","Could impact IB"
"G0863H","dissolve","lsj","Could impact IB"
"G0863H","disband","lsj","Could impact IB"
"G0863H","dismiss","lsj","Could impact IB"
"G0863H","put away","lsj","Not relevant"
"G0863H","divorce","lsj","Could impact IB"
"G0863H","break off","lsj","Could impact IB"
"G0863H","disown","lsj","Could impact IB"
"G0863H","releasing","lsj","Could impact IB"
"G0863H","dedicate","lsj","Could impact IB"
"G0863H","get rid of","lsj","Could impact IB"
"G0863H","slackened","lsj","Could impact IB"
"G0863H","leave off","lsj","Not relevant"
"G0863H","remit","lsj","Could impact IB"
"G0863H","excuse","lsj","Could impact IB"
"G0863H","leave alone","lsj","Could impact IB"
"G0863H","pass by","lsj","Not relevant"
"G0863H","neglect","lsj","Could impact IB"
"G0863H","missum fiat","lsj","Could impact IB"
"G0863H","let","lsj","Could impact IB"
"G0863H","suffer","lsj","Could impact IB"
"G0863H","permit","lsj","Could impact IB"
"G0863H","break up","lsj","Could impact IB"
"G0863H","march","lsj","Could impact IB"
"G0863H","sail","lsj","Could impact IB"
"G0863H","send forth from oneself","lsj","Could impact IB"
"G0863H","of one's own from","lsj","Not relevant"
"G0863H","loosed","lsj","Could impact IB"
"G0863H","her","lsj","Not relevant"
"G0863H","from off","lsj","Not relevant"
"G0863H","let go of","lsj","Could impact IB"
"G0863I","permit/release","mounce","Could impact IB"
"G0863I","to forgive","mounce","Could impact IB"
"G0863I","pardon","mounce","Could impact IB"
"G0863I","remit","mounce","Could impact IB"
"G0863I","cancel","mounce","Could impact IB"
"G0863I","to leave","mounce","Not relevant"
"G0863I","abandon","mounce","Could impact IB"
"G0863I","to allow","mounce","Could impact IB"
"G0863I","permit","mounce","Could impact IB"
"G0863I","tolerate","mounce","Could impact IB"
"G0863I","send forth","lsj","Could impact IB"
"G0863I","discharge","lsj","Could impact IB"
"G0863I","throw oneself","lsj","Could impact IB"
"G0863I","give oneself up","lsj","Could impact IB"
"G0863I","let loose","lsj","Could impact IB"
"G0863I","make","lsj","Not relevant"
"G0863I","give vent to","lsj","Could impact IB"
"G0863I","vent","lsj","Could impact IB"
"G0863I","shed","lsj","Could impact IB"
"G0863I","change","lsj","Could impact IB"
"G0863I","emit","lsj","Could impact IB"
"G0863I","putting forth","lsj","Could impact IB"
"G0863I","put forth","lsj","Could impact IB"
"G0863I","produce","lsj","Could impact IB"
"G0863I","leave","lsj","Not relevant"
"G0863I","to be emitted","lsj","Could impact IB"
"G0863I","to be let go","lsj","Could impact IB"
"G0863I","launched","lsj","Could impact IB"
"G0863I","let fall","lsj","Could impact IB"
"G0863I","give up","lsj","Not relevant"
"G0863I","hand over to","lsj","Not relevant"
"G0863I","send away","lsj","Not relevant"
"G0863I","let go","lsj","Could impact IB"
