question_code,section,scope,tier,window,status,deleted,mechanism,covering_stage,live_observation_count,live_observations_by_stage,accuracy_note,question_text
D7.7.1,D7,Characteristic (HIB behaviour),D7,action-impact,active,0,PINNED-STAGE1,verse-reading,598,verse-reading=598,"exact hardcoded question_code match, not a scope/prefix rule -- works today but requires a manual code edit if this code is ever renamed. Deliberately excluded from Stage 4's own battery (charanswergenerate.py _EXCLUDED_QUESTION_CODES) to avoid duplicate answering, even though its catalogue scope ('Characteristic (HIB behaviour)') would otherwise put it in Stage 4's dynamic set -- a real, documented scope-label vs. actual-answering-stage mismatch (charanswergenerate.py's own module docstring point 2), not silently resolved.","Where this verse contains an action or movement word tagged as an Operation in the cluster's role classification (the tag is `role-T3` in `cluster.cluster_code` -- consult that tagging directly, not this question's own memory of it), what is that word's relation to the parties present -- who initiates it and toward whom or what is it directed? Record none if no such operation word is present."
D9.1.1,D9,Characteristic (HIB behaviour),D9,scientific,active,0,EXCLUDED-SCIENCE-EXTRACT,none,0,,"explicitly filtered out of Stage 4's battery (question_text NOT LIKE '%science extract%') -- the science-extract source data is not wired into the pipeline at all (escalation #1805, open). No stage answers this today.","Per the cluster's science extract, what does neuroscience or physiology show about the mechanism underlying this characteristic, and does the verse evidence engage or diverge from that mechanism?"
D9.2.1,D9,Characteristic (HIB behaviour),D9,scientific,active,0,EXCLUDED-SCIENCE-EXTRACT,none,0,,"explicitly filtered out of Stage 4's battery (question_text NOT LIKE '%science extract%') -- the science-extract source data is not wired into the pipeline at all (escalation #1805, open). No stage answers this today.","Per the cluster's science extract, does the scientific literature show the characteristic (or its pattern) transmitted generationally, and does the verse evidence show anything comparable (covenant, inheritance, generational language)?"
F0.1.1,T2 — Constitutional Location and Boundaries,Verse-context,F0,faculty,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Verse-context' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.","In this verse, does the characteristic engage or is affected by specific faculties — the inner senses (hearing, sight, taste, touch, smell), spiritual discernment, the cognitive faculty (knowing, understanding, discerning), the memory faculty (the holding and retrieving of inner-being reality across time), the affective faculty (feeling and emotional experience), the creative faculty (imagination and the capacity to originate), the volitional faculty (the capacity to choose), the agency faculty (the capacity to act, initiate, and make happen), the moral-evaluation faculty (the capacity to assess against a standard of right, wrong, good, and true), conscience (the acute inner witness of sin, guilt, and conviction), conscientiousness (the integrated response of moral awareness, volition, and action), or relational capacity (the constitutional equipment for genuine connection with another person) — and if so, which faculty/faculties and how? Record none if it does not."
F0.1.2,T2 — Constitutional Location and Boundaries,Characteristic (HIB behaviour),F0,faculty,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Across the verses, what does the pattern of engagement and non-engagement with the faculties indicate about the characteristic's nature?"
M0.1.1,T1 — Definition,Word/term (lexical),M0,meaning,active,0,DYNAMIC-STAGE1,verse-reading,846,verse-reading=846,"prefix match (question_code LIKE 'M0.1%'/'M0.5%') -- a new M0.1.x/M0.5.x question is picked up automatically, no code change needed. Stage 1's own query has NO status='active' filter -- a future non-active M0.1/M0.5 row would still be selected; not currently a live discrepancy (this row IS active) but a real, separate structural gap worth naming.","What is the characteristic called in the programme, and what does the name signal about its essential nature?"
M0.1.2,T1 — Definition,Word/term (lexical),M0,meaning,active,0,DYNAMIC-STAGE1,verse-reading,240,verse-reading=240,"prefix match (question_code LIKE 'M0.1%'/'M0.5%') -- a new M0.1.x/M0.5.x question is picked up automatically, no code change needed. Stage 1's own query has NO status='active' filter -- a future non-active M0.1/M0.5 row would still be selected; not currently a live discrepancy (this row IS active) but a real, separate structural gap worth naming.",What do the primary Hebrew and Greek terms show at the definitional level?
M0.1.3,T1 — Definition,Word/term (lexical),M0,meaning,active,0,DYNAMIC-STAGE1,verse-reading,239,verse-reading=239,"prefix match (question_code LIKE 'M0.1%'/'M0.5%') -- a new M0.1.x/M0.5.x question is picked up automatically, no code change needed. Stage 1's own query has NO status='active' filter -- a future non-active M0.1/M0.5 row would still be selected; not currently a live discrepancy (this row IS active) but a real, separate structural gap worth naming.","What directional, relational, or constitutional implication does the name carry?"
M0.2.1,T1 — Definition,Characteristic (HIB behaviour),M0,meaning,active,0,DYNAMIC-STAGE4,char-answers,15,char-answers=15,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","What kind of inner-being phenomenon is the characteristic — an act, a disposition, a condition/status, a quality, or something else?"
M0.2.2,T1 — Definition,Characteristic (HIB behaviour),M0,meaning,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Is the characteristic simple in structure, or does it combine constituent elements; if compound, which?"
M0.3.1,T1 — Definition,Characteristic (HIB behaviour),M0,meaning,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.",What stands against the characteristic as its structural opposite — the inner-being reality that excludes it?
M0.3.2,T1 — Definition,Characteristic (HIB behaviour),M0,meaning,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.",What does the characteristic exclude or resist at its edge?
M0.3.3,T1 — Definition,Characteristic (HIB behaviour),M0,meaning,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.",Where does the characteristic end and another thing begin — what is it not?
M0.4.1,T1 — Definition,Word/term (lexical),M0,meaning,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Word/term (lexical)' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.",What is the grammatical/stem form of the characteristic's primary term in this verse?
M0.5.1,T7 — Evidential and Methodological Foundation,Word/term (lexical),M0,meaning,active,0,DYNAMIC-STAGE1,verse-reading,803,verse-reading=803,"prefix match (question_code LIKE 'M0.1%'/'M0.5%') -- a new M0.1.x/M0.5.x question is picked up automatically, no code change needed. Stage 1's own query has NO status='active' filter -- a future non-active M0.1/M0.5 row would still be selected; not currently a live discrepancy (this row IS active) but a real, separate structural gap worth naming.","What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?"
M0.5.10,T7 — Evidential and Methodological Foundation,Word/term (lexical),M0,meaning,active,0,DYNAMIC-STAGE1,verse-reading,216,verse-reading=216,"prefix match (question_code LIKE 'M0.1%'/'M0.5%') -- a new M0.1.x/M0.5.x question is picked up automatically, no code change needed. Stage 1's own query has NO status='active' filter -- a future non-active M0.1/M0.5 row would still be selected; not currently a live discrepancy (this row IS active) but a real, separate structural gap worth naming.",What does the full vocabulary arc show about the characteristic's complete semantic range?
M0.5.11,M0,Word/term (lexical),,meaning,active,0,DYNAMIC-STAGE1,verse-reading,681,verse-reading=681,"prefix match (question_code LIKE 'M0.1%'/'M0.5%') -- a new M0.1.x/M0.5.x question is picked up automatically, no code change needed. Stage 1's own query has NO status='active' filter -- a future non-active M0.1/M0.5 row would still be selected; not currently a live discrepancy (this row IS active) but a real, separate structural gap worth naming.","Where this occurrence's surface form/contextual sense diverges from the base lemma's general stepGloss, what nuance is that divergence carrying in THIS context, what is its impact here, and how does it compare against the word's other occurrences? Record none if this occurrence sits squarely within the base gloss with no notable shift."
M0.5.2,T7 — Evidential and Methodological Foundation,Word/term (lexical),M0,meaning,active,0,DYNAMIC-STAGE1,verse-reading,246,verse-reading=246,"prefix match (question_code LIKE 'M0.1%'/'M0.5%') -- a new M0.1.x/M0.5.x question is picked up automatically, no code change needed. Stage 1's own query has NO status='active' filter -- a future non-active M0.1/M0.5 row would still be selected; not currently a live discrepancy (this row IS active) but a real, separate structural gap worth naming.","What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?"
M0.5.3,T7 — Evidential and Methodological Foundation,Word/term (lexical),M0,meaning,active,0,DYNAMIC-STAGE1,verse-reading,230,verse-reading=230,"prefix match (question_code LIKE 'M0.1%'/'M0.5%') -- a new M0.1.x/M0.5.x question is picked up automatically, no code change needed. Stage 1's own query has NO status='active' filter -- a future non-active M0.1/M0.5 row would still be selected; not currently a live discrepancy (this row IS active) but a real, separate structural gap worth naming.","What is the semantic range of the primary term — across what breadth of meaning does it operate, including any idiomatic, analogical, or otherwise implied meaning carried by its use in combination with other terms?"
M0.5.4,T7 — Evidential and Methodological Foundation,Word/term (lexical),M0,meaning,active,0,DYNAMIC-STAGE1,verse-reading,214,verse-reading=214,"prefix match (question_code LIKE 'M0.1%'/'M0.5%') -- a new M0.1.x/M0.5.x question is picked up automatically, no code change needed. Stage 1's own query has NO status='active' filter -- a future non-active M0.1/M0.5 row would still be selected; not currently a live discrepancy (this row IS active) but a real, separate structural gap worth naming.","Does the vocabulary include terms distinguishing distinct aspects — disposition versus act, received versus given, condition versus quality? Record which, or none."
M0.5.5,T7 — Evidential and Methodological Foundation,Word/term (lexical),M0,meaning,active,0,DYNAMIC-STAGE1,verse-reading,220,verse-reading=220,"prefix match (question_code LIKE 'M0.1%'/'M0.5%') -- a new M0.1.x/M0.5.x question is picked up automatically, no code change needed. Stage 1's own query has NO status='active' filter -- a future non-active M0.1/M0.5 row would still be selected; not currently a live discrepancy (this row IS active) but a real, separate structural gap worth naming.","Does the vocabulary include a term for the structural opposite or absence of this characteristic? Record it, or none."
M0.5.6,T7 — Evidential and Methodological Foundation,Word/term (lexical),M0,meaning,active,0,DYNAMIC-STAGE1,verse-reading,219,verse-reading=219,"prefix match (question_code LIKE 'M0.1%'/'M0.5%') -- a new M0.1.x/M0.5.x question is picked up automatically, no code change needed. Stage 1's own query has NO status='active' filter -- a future non-active M0.1/M0.5 row would still be selected; not currently a live discrepancy (this row IS active) but a real, separate structural gap worth naming.","Does the vocabulary include a person-type term — one for the person who habitually possesses or exercises this characteristic? Record it, or none."
M0.5.7,T7 — Evidential and Methodological Foundation,Word/term (lexical),M0,meaning,active,0,DYNAMIC-STAGE1,verse-reading,215,verse-reading=215,"prefix match (question_code LIKE 'M0.1%'/'M0.5%') -- a new M0.1.x/M0.5.x question is picked up automatically, no code change needed. Stage 1's own query has NO status='active' filter -- a future non-active M0.1/M0.5 row would still be selected; not currently a live discrepancy (this row IS active) but a real, separate structural gap worth naming.","Does the vocabulary include a supplication or seeking term — one for the act of seeking this characteristic from another? Record it, or none."
M0.5.8,T7 — Evidential and Methodological Foundation,Word/term (lexical),M0,meaning,active,0,DYNAMIC-STAGE1,verse-reading,213,verse-reading=213,"prefix match (question_code LIKE 'M0.1%'/'M0.5%') -- a new M0.1.x/M0.5.x question is picked up automatically, no code change needed. Stage 1's own query has NO status='active' filter -- a future non-active M0.1/M0.5 row would still be selected; not currently a live discrepancy (this row IS active) but a real, separate structural gap worth naming.",What does the relationship between the OT Hebrew and NT Greek vocabulary show about continuity or development of the characteristic across the Testaments?
M0.5.9,T7 — Evidential and Methodological Foundation,Word/term (lexical),M0,meaning,active,0,DYNAMIC-STAGE1,verse-reading,212,verse-reading=212,"prefix match (question_code LIKE 'M0.1%'/'M0.5%') -- a new M0.1.x/M0.5.x question is picked up automatically, no code change needed. Stage 1's own query has NO status='active' filter -- a future non-active M0.1/M0.5 row would still be selected; not currently a live discrepancy (this row IS active) but a real, separate structural gap worth naming.","Is there a term newly coined in the NT period for this characteristic; if so, what does the coinage show? Record it, or none."
M0.6.1,T7 — Evidential and Methodological Foundation,The verse,M0,literary,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='The verse' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.","What is the function of the primary term within its primary verse -- (a) what role does it play in the sentence, and (b) what role does it play in the verse's own argument, if a connective/chain edge shows one?"
M0.6.2,T7 — Evidential and Methodological Foundation,The verse,M0,literary,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='The verse' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.",What is the logical structure of the key arguments in the verse evidence — premises and conclusions?
M0.6.3,T7 — Evidential and Methodological Foundation,The verse,M0,literary,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='The verse' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.","Does any verse function as the primary anchor — the one most fully and directly expressing the characteristic's essential character? Record it, or none."
M0.6.4,T7 — Evidential and Methodological Foundation,The verse,M0,literary,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='The verse' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.",What does the primary anchor verse show that no other verse shows?
M0.6.5,M0,The verse,,relational,active,0,PINNED-STAGE1,verse-reading,769,verse-reading=769,"exact hardcoded question_code match, not a scope/prefix rule -- works today but requires a manual code edit if this code is ever renamed.",What role does this characteristic play in relation to the OTHER M-code characteristics present in this verse? Build on whatever earlier cluster-passes over this SAME verse already found (given as prior context) -- do not re-derive or duplicate their findings; the focus shifts to what THIS characteristic's own vantage point adds. Record none if no other M-code characteristic is present.
T7.3.1,T7 — Evidential and Methodological Foundation,Science,T7,,active,1,RETIRED,none,0,,deleted=1 in the live catalogue -- not live input to any stage regardless of what a query would otherwise match.,"Which human-science framework (psychology, moral philosophy, developmental psychology, sociology, anthropology, or other) serves as the most useful interpretive lens for this characteristic?"
T7.3.2,T7 — Evidential and Methodological Foundation,Science,T7,,active,1,RETIRED,none,0,,deleted=1 in the live catalogue -- not live input to any stage regardless of what a query would otherwise match.,Where the framework illuminates the verse evidence — making a finding more coherent or complete — what does it show?
T7.3.3,T7 — Evidential and Methodological Foundation,Science,T7,,active,1,RETIRED,none,0,,deleted=1 in the live catalogue -- not live input to any stage regardless of what a query would otherwise match.,"Where the verse evidence and the framework diverge, what does the divergence show?"
T7.3.4,T7 — Evidential and Methodological Foundation,Science,T7,,active,1,RETIRED,none,0,,deleted=1 in the live catalogue -- not live input to any stage regardless of what a query would otherwise match.,"Does the framework surface any aspect of the characteristic the verse evidence has not yet addressed, and does that absence call for further verse investigation?"
X0.1.1,T6 — Structural Relationships with Other Characteristics,Characteristic relational,X0,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Which adjacent characteristics appear alongside this one in the verse evidence, and how frequently? Record none if no significant co-occurrence appears."
X0.1.2,T6 — Structural Relationships with Other Characteristics,Characteristic relational,X0,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.",What does the co-occurrence pattern show about this characteristic's place in the inner-being landscape?
X0.2.1,T6 — Structural Relationships with Other Characteristics,Characteristic relational,X0,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Does the evidence show this characteristic consistently preceding, following, or accompanying another in a sequence; if so, which and how? Record none if no sequence appears."
X0.2.2,T6 — Structural Relationships with Other Characteristics,Characteristic relational,X0,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","What does the sequence show — is the relationship causal, developmental, or correlational?"
X0.3.1,T6 — Structural Relationships with Other Characteristics,Characteristic relational,X0,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Does this characteristic produce another in the evidence, and if so which, and by what mechanism? Record none if none is shown."
X0.3.2,T6 — Structural Relationships with Other Characteristics,Characteristic relational,X0,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Is this characteristic produced by another, and if so which?"
X0.3.3,T6 — Structural Relationships with Other Characteristics,Characteristic relational,X0,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Is this characteristic a constituent element of another, or another a constituent of this one?"
X0.4.1,T6 — Structural Relationships with Other Characteristics,Word/term (lexical),X0,relational,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Word/term (lexical)' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.","Which vocabulary terms, if any, does this characteristic share with other characteristics in the programme? Record none if none is shown."
X0.4.2,T6 — Structural Relationships with Other Characteristics,Word/term (lexical),X0,relational,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Word/term (lexical)' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.",Does the sharing extend to root-level architecture — a shared root generating terms across two or more characteristics?
X0.4.3,T6 — Structural Relationships with Other Characteristics,Word/term (lexical),X0,relational,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Word/term (lexical)' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.",What does the vocabulary sharing show about the conceptual relationship between the characteristics?
X0.5.1,T6 — Structural Relationships with Other Characteristics,Characteristic relational,X0,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Which adjacent characteristic most closely resembles this one, and what precisely distinguishes them?"
X0.5.2,T6 — Structural Relationships with Other Characteristics,Characteristic relational,X0,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Where the evidence shows apparent overlap, what is the precise boundary?"
X0.5.3,T6 — Structural Relationships with Other Characteristics,Characteristic relational,X0,relational,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Is the distinction from the nearest neighbour one of degree, kind, direction, or constitutional level?"
