strong,gloss,cluster_code,cluster_label,source,confidence,review_flag,keep (fill in Y/blank)
H3272A,to counsel,M17,Counsel,llm-allocation-v1_3-20260811,medium,0,
H3272B,counsellor,M16,Wisdom & Folly,heuristic-family-grouping-v1-20260905,heuristic,0,
H3272B,counsellor,M17,Counsel,llm-allocation-v1_3-20260811,high,0,
H3544,faint,M01,Fear & Awe,llm-allocation-v1_3-20260811,medium,0,
H3544,faint,M24,Faintness & Despair,heuristic-family-grouping-v1-20260905,heuristic,0,
H3559K,to establish: right,M13,Faith & Faithfulness,llm-allocation-v1_3-20260811,medium,0,
H3559K,to establish: right,M23,Strength & Courage,heuristic-family-grouping-v1-20260905,heuristic,0,
H3589,ruin,M27,Evil,llm-allocation-v1_3-20260811,medium,0,
H3589,ruin,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,heuristic,0,
H3832,to ruin,M27,Evil,llm-allocation-v1_3-20260811,high,0,
H3832,to ruin,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,heuristic,0,
H3905,to oppress,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
H3905,to oppress,M24,Faintness & Despair,llm-allocation-v1_3-20260811,medium,0,
H3934,mocking,M06,Malice & Enmity,llm-allocation-v1_3-20260811,low,1,
H3934,mocking,M08,Pride & Arrogance,heuristic-family-grouping-v1-20260905,heuristic,0,
H3985,to refuse,M27,Evil,llm-allocation-v1_3-20260811,medium,0,
H3985,to refuse,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
H3994,curse,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
H3994,curse,M07,Shame & Confusion,llm-allocation-v1_3-20260811,medium,0,
H4072,ruin,M27,Evil,llm-allocation-v1_3-20260811,medium,0,
H4072,ruin,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,heuristic,0,
H4079,contention,M02,Anger & Wrath,llm-allocation-v1_3-20260811,low,1,
H4079,contention,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H4090,strife,M02,Anger & Wrath,llm-allocation-v1_3-20260811,high,0,
H4090,strife,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H4272,to wound,M03,Grief & Lament,auto-precedent,,0,
H4272,to wound,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H4426,mockery,M06,Malice & Enmity,llm-allocation-v1_3-20260811,low,1,
H4426,mockery,M08,Pride & Arrogance,heuristic-family-grouping-v1-20260905,heuristic,0,
H4431,counsel,M16,Wisdom & Folly,heuristic-family-grouping-v1-20260905,heuristic,0,
H4431,counsel,M17,Counsel,llm-allocation-v1_3-20260811,high,0,
H4485,mocking,M06,Malice & Enmity,llm-allocation-v1_3-20260811,low,1,
H4485,mocking,M08,Pride & Arrogance,heuristic-family-grouping-v1-20260905,heuristic,0,
H4523,despairing,M20,Doubt & Discouragement,llm-allocation-v1_3-20260811,low,1,
H4523,despairing,M24,Faintness & Despair,heuristic-family-grouping-v1-20260905,heuristic,0,
H4531A,despair,M20,Doubt & Discouragement,llm-allocation-v1_3-20260811,medium,0,
H4531A,despair,M24,Faintness & Despair,heuristic-family-grouping-v1-20260905,heuristic,0,
H4542,poor,M09,Humility & Lowliness,heuristic-family-grouping-v1-20260905,heuristic,0,
H4542,poor,M24,Faintness & Despair,llm-allocation-v1_3-20260811,medium,0,
H4561,discipline,M15,Knowing & Understanding,auto-precedent,,0,
H4561,discipline,M16,Wisdom & Folly,heuristic-family-grouping-v1-20260905,heuristic,0,
H4639H,deed: justice,M12,Righteousness & Integrity,heuristic-family-grouping-v1-20260905,heuristic,0,
H4639H,deed: justice,M26,Judgment & Condemnation,llm-allocation-v1_3-20260811,medium,0,
H4651,refuse,M27,Evil,auto-precedent,,0,
H4651,refuse,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
H4654A,ruin,M27,Evil,auto-precedent,,0,
H4654A,ruin,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,heuristic,0,
H4654B,ruin,M27,Evil,auto-precedent,,0,
H4654B,ruin,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,heuristic,0,
H4721,assembly,M05,Kindness & Friendship,auto-precedent,,0,
H4721,assembly,M44,Covenant & Fellowship,heuristic-family-grouping-v1-20260905,heuristic,0,
H4878,faithlessness,M13,Faith & Faithfulness,heuristic-family-grouping-v1-20260905,heuristic,0,
H4878,faithlessness,M31,Faith,llm-allocation-v1_3-20260811,low,1,
H4912,proverb,M23,Strength & Courage,llm-allocation-v1_3-20260811,medium,0,
H4912,proverb,M35,Being Tested,heuristic-family-grouping-v1-20260905,heuristic,0,
H4923,devastation,M27,Evil,auto-precedent,,0,
H4923,devastation,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,heuristic,0,
H5001,to prophesy,M42,Prayer & Petition,auto-precedent,,0,
H5001,to prophesy,M43,Prophecy & Vision,heuristic-family-grouping-v1-20260905,heuristic,0,
H5002,utterance,M42,Prayer & Petition,llm-allocation-v1_3-20260811,low,1,
H5002,utterance,M65,Speech & Tongue,heuristic-family-grouping-v1-20260905,heuristic,0,
H5013,to prophesy,M42,Prayer & Petition,auto-precedent,,0,
H5013,to prophesy,M43,Prophecy & Vision,heuristic-family-grouping-v1-20260905,heuristic,0,
H5034A,be senseless,M15,Knowing & Understanding,llm-allocation-v1_3-20260811,medium,0,
H5034A,be senseless,M16,Wisdom & Folly,heuristic-family-grouping-v1-20260905,heuristic,0,
H5110,to wander,M18,Desire & Longing,llm-allocation-v1_3-20260811,medium,0,
H5110,to wander,M76,Walk & Conduct,heuristic-family-grouping-v1-20260905,heuristic,0,
H5142,to suffer injury,M03,Grief & Lament,llm-allocation-v1_3-20260811,medium,0,
H5142,to suffer injury,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H5230,to plot,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
H5230,to plot,M14,Deceit & Falsehood,llm-allocation-v1_3-20260811,medium,0,
H5375P,to lift: vow,M21,Fasting & Piety,llm-allocation-v1_3-20260811,medium,0,
H5375P,to lift: vow,M70,Lifting & Bearing,heuristic-family-grouping-v1-20260905,heuristic,0,
H5535,be silent,M33,Rest & Peace,heuristic-family-grouping-v1-20260905,heuristic,0,
H5535,be silent,M42,Prayer & Petition,llm-allocation-v1_3-20260811,high,0,
H5541A,to reject,M07,Shame & Confusion,llm-allocation-v1_3-20260811,medium,0,
H5541A,to reject,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
H5590,to rage,M01,Fear & Awe,llm-allocation-v1_3-20260811,medium,0,
H5590,to rage,M02,Anger & Wrath,heuristic-family-grouping-v1-20260905,heuristic,0,
H5607A,mockery,M06,Malice & Enmity,auto-precedent,,0,
H5607A,mockery,M08,Pride & Arrogance,heuristic-family-grouping-v1-20260905,heuristic,0,
H5754,ruin,M27,Evil,llm-allocation-v1_3-20260811,medium,0,
H5754,ruin,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,heuristic,0,
H5843,counsel,M16,Wisdom & Folly,heuristic-family-grouping-v1-20260905,heuristic,0,
H5843,counsel,M17,Counsel,llm-allocation-v1_3-20260811,high,0,
H5856,ruin,M27,Evil,llm-allocation-v1_3-20260811,medium,0,
H5856,ruin,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,heuristic,0,
H5889,faint,M01,Fear & Awe,llm-allocation-v1_3-20260811,medium,0,
H5889,faint,M24,Faintness & Despair,heuristic-family-grouping-v1-20260905,heuristic,0,
H6032,to answer,M24,Faintness & Despair,auto-precedent,,0,
H6032,to answer,M41,Being Heard,heuristic-family-grouping-v1-20260905,heuristic,0,
H6145,enemy,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
H6145,enemy,M44,Covenant & Fellowship,auto-precedent,,0,
H6282A,worshiper,M21,Fasting & Piety,llm-allocation-v1_3-20260811,medium,0,
H6282A,worshiper,M36,Worship & Service,heuristic-family-grouping-v1-20260905,heuristic,0,
H6463,to groan,M03,Grief & Lament,heuristic-family-grouping-v1-20260905,heuristic,0,
H6463,to groan,M42,Prayer & Petition,llm-allocation-v1_3-20260811,high,0,
H6481,to wound,M03,Grief & Lament,llm-allocation-v1_3-20260811,high,0,
H6481,to wound,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H6569,refuse,M27,Evil,auto-precedent,,0,
H6569,refuse,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
H6574,refuse,M27,Evil,auto-precedent,,0,
H6574,refuse,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
H6590,to interpret,M43,Prophecy & Vision,auto-precedent,,0,
H6590,to interpret,M63,Reasoning & Interpretation,heuristic-family-grouping-v1-20260905,heuristic,0,
H6601B,to entice,M10,Violence & Cruelty,auto-precedent,,0,
H6601B,to entice,M77,Stumbling & Trial,heuristic-family-grouping-v1-20260905,heuristic,0,
H6622,to interpret,M43,Prophecy & Vision,auto-precedent,,0,
H6622,to interpret,M63,Reasoning & Interpretation,heuristic-family-grouping-v1-20260905,heuristic,0,
H6665,righteousness,M12,Righteousness & Integrity,heuristic-family-grouping-v1-20260905,heuristic,0,
H6665,righteousness,M26,Judgment & Condemnation,llm-allocation-v1_3-20260811,high,0,
H6772,thirst,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
H6772,thirst,M29,Desire,llm-allocation-v1_3-20260811,medium,0,
H6951,assembly,M05,Kindness & Friendship,auto-precedent,,0,
H6951,assembly,M44,Covenant & Fellowship,heuristic-family-grouping-v1-20260905,heuristic,0,
H6952,assembly,M05,Kindness & Friendship,auto-precedent,,0,
H6952,assembly,M44,Covenant & Fellowship,heuristic-family-grouping-v1-20260905,heuristic,0,
H7045,curse,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
H7045,curse,M07,Shame & Confusion,llm-allocation-v1_3-20260811,medium,0,
H7452,shouting,M15,Knowing & Understanding,llm-allocation-v1_3-20260811,medium,0,
H7452,shouting,M84,Outcry & Shouting,heuristic-family-grouping-v1-20260905,heuristic,0,
H7470,pleasure,M04,Joy & Gladness,llm-allocation-v1_3-20260811,medium,0,
H7470,pleasure,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
H7591,ruin,M27,Evil,llm-allocation-v1_3-20260811,medium,0,
H7591,ruin,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,heuristic,0,
H7596,petition,M21,Fasting & Piety,llm-allocation-v1_3-20260811,high,0,
H7596,petition,M42,Prayer & Petition,heuristic-family-grouping-v1-20260905,heuristic,0,
H7602B,to crush,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H7602B,to crush,M24,Faintness & Despair,llm-allocation-v1_3-20260811,medium,0,
H7612,devastation,M27,Evil,auto-precedent,,0,
H7612,devastation,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,heuristic,0,
H7682,to exalt,M08,Pride & Arrogance,auto-precedent,,0,
H7682,to exalt,M22,Praise & Song,heuristic-family-grouping-v1-20260905,heuristic,0,
H7701,violence,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H7701,violence,M27,Evil,auto-precedent,,0,
H7703,to ruin,M27,Evil,llm-allocation-v1_3-20260811,high,0,
H7703,to ruin,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,heuristic,0,
H7722B,devastation,M27,Evil,auto-precedent,,0,
H7722B,devastation,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,heuristic,0,
H7790,enemy,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
H7790,enemy,M44,Covenant & Fellowship,auto-precedent,,0,
H7891,to sing,M22,Praise & Song,heuristic-family-grouping-v1-20260905,heuristic,0,
H7891,to sing,M42,Prayer & Petition,llm-allocation-v1_3-20260811,medium,0,
H7892A,song,M22,Praise & Song,heuristic-family-grouping-v1-20260905,heuristic,0,
H7892A,song,M42,Prayer & Petition,auto-precedent,,0,
H7892B,song,M22,Praise & Song,heuristic-family-grouping-v1-20260905,heuristic,0,
H7892B,song,M42,Prayer & Petition,auto-precedent,,0,
H7904,to lust,M28,Envy & Greed,heuristic-family-grouping-v1-20260905,heuristic,0,
H7904,to lust,M29,Desire,llm-allocation-v1_3-20260811,high,0,
H8148,taunt,M06,Malice & Enmity,llm-allocation-v1_3-20260811,medium,0,
H8148,taunt,M08,Pride & Arrogance,heuristic-family-grouping-v1-20260905,heuristic,0,
H8324,enemy,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
H8324,enemy,M44,Covenant & Fellowship,auto-precedent,,0,
H8381,curse,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
H8381,curse,M07,Shame & Confusion,llm-allocation-v1_3-20260811,medium,0,
H8395,ruin,M27,Evil,llm-allocation-v1_3-20260811,medium,0,
H8395,ruin,M55,Destruction & Ruin,heuristic-family-grouping-v1-20260905,heuristic,0,
H8409,strife,M02,Anger & Wrath,llm-allocation-v1_3-20260811,high,0,
H8409,strife,M10,Violence & Cruelty,heuristic-family-grouping-v1-20260905,heuristic,0,
H8496,oppression,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
H8496,oppression,M24,Faintness & Despair,llm-allocation-v1_3-20260811,medium,0,
