id,meaning_source,obs_text,id,observation_id,cluster_code,cluster_subgroup_code,strong,verse_reference,surface,morph_code,question_code,traced_observation_id,source_stage,seq,created_at,question_code,question_text
25,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"G3636 (oknēros) is itself the structural-opposite term to earnestness/zeal in this cluster's vocabulary, meaning 'slow, slothful, indolent, idle' and by extension 'tedious, troublesome' (Phil.3.1) -- LSJ notes its root sense of shrinking back, especially from fear, opposed to tolmēros ('bold').",52,25,M67,,G3636,Rom.12.11,slothful,A-NPM,M0.5.5,,verse-reading,1,2026-09-17T09:29:01Z,M0.5.5,"Does the vocabulary include a term for the structural opposite or absence of this characteristic? Record it, or none."
25,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"G3636 (oknēros) is itself the structural-opposite term to earnestness/zeal in this cluster's vocabulary, meaning 'slow, slothful, indolent, idle' and by extension 'tedious, troublesome' (Phil.3.1) -- LSJ notes its root sense of shrinking back, especially from fear, opposed to tolmēros ('bold').",53,25,M67,,G3636,Matt.25.26,slothful,A-VSM,M0.5.5,,verse-reading,2,2026-09-17T09:29:01Z,M0.5.5,"Does the vocabulary include a term for the structural opposite or absence of this characteristic? Record it, or none."
25,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"G3636 (oknēros) is itself the structural-opposite term to earnestness/zeal in this cluster's vocabulary, meaning 'slow, slothful, indolent, idle' and by extension 'tedious, troublesome' (Phil.3.1) -- LSJ notes its root sense of shrinking back, especially from fear, opposed to tolmēros ('bold').",54,25,M67,,G3636,Phil.3.1,trouble,A-NSN,M0.5.5,,verse-reading,3,2026-09-17T09:29:01Z,M0.5.5,"Does the vocabulary include a term for the structural opposite or absence of this characteristic? Record it, or none."
26,strong_lexicon.lsj; strong_meaning_tree; strong_lexicon.mounce,"The characteristic named by oknēros is 'slothfulness/indolence,' signaling an essential nature of shrinking back from effort or action, rooted (per LSJ) in timidity or fear-driven reluctance rather than mere laziness.",55,26,M67,,G3636,Matt.25.26,slothful,A-VSM,M0.1.1,,verse-reading,1,2026-09-17T09:29:01Z,M0.1.1,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
26,strong_lexicon.lsj; strong_meaning_tree; strong_lexicon.mounce,"The characteristic named by oknēros is 'slothfulness/indolence,' signaling an essential nature of shrinking back from effort or action, rooted (per LSJ) in timidity or fear-driven reluctance rather than mere laziness.",56,26,M67,,G3636,Rom.12.11,slothful,A-NPM,M0.1.1,,verse-reading,2,2026-09-17T09:29:01Z,M0.1.1,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
26,strong_lexicon.lsj; strong_meaning_tree; strong_lexicon.mounce,"The characteristic named by oknēros is 'slothfulness/indolence,' signaling an essential nature of shrinking back from effort or action, rooted (per LSJ) in timidity or fear-driven reluctance rather than mere laziness.",57,26,M67,,G3636,Phil.3.1,trouble,A-NSN,M0.1.1,,verse-reading,3,2026-09-17T09:29:01Z,M0.1.1,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
27,strong_lexicon.lsj,"The Greek term oknēros (from okneō, 'to shrink, hesitate') shows at the definitional level a core meaning of timid reluctance and hesitancy that generalizes to idleness and, applied to things, to what is 'troublesome' or 'vexatious' -- a semantic extension from subjective fear to objective burden.",58,27,M67,,G3636,Matt.25.26,slothful,A-VSM,M0.1.2,,verse-reading,1,2026-09-17T09:29:01Z,M0.1.2,What do the primary Hebrew and Greek terms show at the definitional level?
27,strong_lexicon.lsj,"The Greek term oknēros (from okneō, 'to shrink, hesitate') shows at the definitional level a core meaning of timid reluctance and hesitancy that generalizes to idleness and, applied to things, to what is 'troublesome' or 'vexatious' -- a semantic extension from subjective fear to objective burden.",59,27,M67,,G3636,Phil.3.1,trouble,A-NSN,M0.1.2,,verse-reading,2,2026-09-17T09:29:01Z,M0.1.2,What do the primary Hebrew and Greek terms show at the definitional level?
28,strong_meaning_tree; strong_lexicon.lsj,"The name carries a relational implication of failure toward an owed duty or master (the slothful servant, Matt.25.26) and of unwanted burden imposed on another (Phil.3.1, 'no trouble to me') -- the term is inherently evaluated in relation to another party's expectation.",60,28,M67,,G3636,Matt.25.26,slothful,A-VSM,M0.1.3,,verse-reading,1,2026-09-17T09:29:01Z,M0.1.3,"What directional, relational, or constitutional implication does the name carry?"
28,strong_meaning_tree; strong_lexicon.lsj,"The name carries a relational implication of failure toward an owed duty or master (the slothful servant, Matt.25.26) and of unwanted burden imposed on another (Phil.3.1, 'no trouble to me') -- the term is inherently evaluated in relation to another party's expectation.",61,28,M67,,G3636,Phil.3.1,trouble,A-NSN,M0.1.3,,verse-reading,2,2026-09-17T09:29:01Z,M0.1.3,"What directional, relational, or constitutional implication does the name carry?"
29,strong_lexicon.lsj; strong_meaning_tree; strong_lexicon.mounce,"The primary Greek term is oknēros, from okneō 'to shrink back, hesitate, be reluctant' -- root meaning shows a movement-avoidance sense (shrinking from action, especially out of fear) generalized to idleness and, of things, to what causes reluctance in others (troublesome).",62,29,M67,,G3636,Rom.12.11,slothful,A-NPM,M0.5.1,,verse-reading,1,2026-09-17T09:29:01Z,M0.5.1,"What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?"
29,strong_lexicon.lsj; strong_meaning_tree; strong_lexicon.mounce,"The primary Greek term is oknēros, from okneō 'to shrink back, hesitate, be reluctant' -- root meaning shows a movement-avoidance sense (shrinking from action, especially out of fear) generalized to idleness and, of things, to what causes reluctance in others (troublesome).",63,29,M67,,G3636,Matt.25.26,slothful,A-VSM,M0.5.1,,verse-reading,2,2026-09-17T09:29:01Z,M0.5.1,"What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?"
30,strong_meaning_tree; strong_lexicon.lsj,"Oknēros is grammatically an adjective, appearing as a vocative describing a person (Matt.25.26 'you slothful servant') and as a nominative predicate describing a quality of a thing (Phil.3.1, 'no trouble') -- the range shows the characteristic can qualify both persons (moral failing) and things (objective burden/vexation).",64,30,M67,,G3636,Matt.25.26,slothful,A-VSM,M0.5.2,,verse-reading,1,2026-09-17T09:29:01Z,M0.5.2,"What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?"
30,strong_meaning_tree; strong_lexicon.lsj,"Oknēros is grammatically an adjective, appearing as a vocative describing a person (Matt.25.26 'you slothful servant') and as a nominative predicate describing a quality of a thing (Phil.3.1, 'no trouble') -- the range shows the characteristic can qualify both persons (moral failing) and things (objective burden/vexation).",65,30,M67,,G3636,Phil.3.1,trouble,A-NSN,M0.5.2,,verse-reading,2,2026-09-17T09:29:01Z,M0.5.2,"What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?"
31,strong_lexicon.lsj; strong_meaning_tree,"The semantic range spans personal moral failing ('slothful, indolent,' of a servant or exhortation to avoid it in zeal) to an entirely different applied sense when predicated of things or actions ('tedious, troublesome, vexatious,' Phil.3.1) -- LSJ notes the root also covers 'timid, shrinking' especially from fear, distinguishing it from bold (tolmēros).",66,31,M67,,G3636,Matt.25.26,slothful,A-VSM,M0.5.3,,verse-reading,1,2026-09-17T09:29:01Z,M0.5.3,"What is the semantic range of the primary term — across what breadth of meaning does it operate, including any idiomatic, analogical, or otherwise implied meaning carried by its use in combination with other terms?"
31,strong_lexicon.lsj; strong_meaning_tree,"The semantic range spans personal moral failing ('slothful, indolent,' of a servant or exhortation to avoid it in zeal) to an entirely different applied sense when predicated of things or actions ('tedious, troublesome, vexatious,' Phil.3.1) -- LSJ notes the root also covers 'timid, shrinking' especially from fear, distinguishing it from bold (tolmēros).",67,31,M67,,G3636,Phil.3.1,trouble,A-NSN,M0.5.3,,verse-reading,2,2026-09-17T09:29:01Z,M0.5.3,"What is the semantic range of the primary term — across what breadth of meaning does it operate, including any idiomatic, analogical, or otherwise implied meaning carried by its use in combination with other terms?"
32,strong_meaning_tree; strong_lexicon.lsj,"The vocabulary distinguishes a condition/disposition (slothfulness as habitual character, Matt.25.26, Rom.12.11) from an incidental quality of an action or request (being 'no trouble,' Phil.3.1) -- same lexeme applied to person-condition versus act-quality.",68,32,M67,,G3636,Matt.25.26,slothful,A-VSM,M0.5.4,,verse-reading,1,2026-09-17T09:29:01Z,M0.5.4,"Does the vocabulary include terms distinguishing distinct aspects — disposition versus act, received versus given, condition versus quality? Record which, or none."
32,strong_meaning_tree; strong_lexicon.lsj,"The vocabulary distinguishes a condition/disposition (slothfulness as habitual character, Matt.25.26, Rom.12.11) from an incidental quality of an action or request (being 'no trouble,' Phil.3.1) -- same lexeme applied to person-condition versus act-quality.",69,32,M67,,G3636,Phil.3.1,trouble,A-NSN,M0.5.4,,verse-reading,2,2026-09-17T09:29:01Z,M0.5.4,"Does the vocabulary include terms distinguishing distinct aspects — disposition versus act, received versus given, condition versus quality? Record which, or none."
33,strong_meaning_tree; strong_lexicon.lsj,None -- oknēros is itself the structural opposite of the cluster's positive term (spoudē/zeal); no further opposite-of-opposite term is present in this cluster's vocabulary.,70,33,M67,,G3636,Rom.12.11,slothful,A-NPM,M0.5.5,25,verse-reading,1,2026-09-17T09:29:01Z,M0.5.5,"Does the vocabulary include a term for the structural opposite or absence of this characteristic? Record it, or none."
34,strong_meaning_tree,None -- no distinct person-type noun (e.g. 'a slothful one' as a fixed title) is present in the cluster vocabulary; oknēros functions adjectivally applied to 'servant' (doulos) rather than as its own person-noun.,71,34,M67,,G3636,Matt.25.26,slothful,A-VSM,M0.5.6,,verse-reading,1,2026-09-17T09:29:01Z,M0.5.6,"Does the vocabulary include a person-type term — one for the person who habitually possesses or exercises this characteristic? Record it, or none."
35,strong_meaning_tree,None -- no supplication/seeking term for the state of avoiding slothfulness is present among this cluster's member strongs.,72,35,M67,,G3636,Matt.25.26,slothful,A-VSM,M0.5.7,,verse-reading,1,2026-09-17T09:29:01Z,M0.5.7,"Does the vocabulary include a supplication or seeking term — one for the act of seeking this characteristic from another? Record it, or none."
36,strong_lexicon.lsj,"As this cluster's evidence is entirely NT Greek with no corresponding OT Hebrew member strong supplied, no direct OT/NT continuity comparison can be made from the given sources for oknēros; the term's classical Greek usage (LSJ) shows continuity of meaning (timidity/reluctance) into NT usage without semantic innovation.",73,36,M67,,G3636,Matt.25.26,slothful,A-VSM,M0.5.8,,verse-reading,1,2026-09-17T09:29:01Z,M0.5.8,What does the relationship between the OT Hebrew and NT Greek vocabulary show about continuity or development of the characteristic across the Testaments?
37,strong_lexicon.lsj,"None -- oknēros is attested in classical Greek from the 5th century BC onward (LSJ cites Pindar, Sophocles, Xenophon, Aristotle) and is not a NT-period coinage.",74,37,M67,,G3636,Matt.25.26,slothful,A-VSM,M0.5.9,,verse-reading,1,2026-09-17T09:29:01Z,M0.5.9,"Is there a term newly coined in the NT period for this characteristic; if so, what does the coinage show? Record it, or none."
38,strong_meaning_tree,None -- no distinct person-type noun (e.g. 'a zealous one') is present among this cluster's member strongs; spoudē remains an abstract quality noun rather than generating a person-title in the supplied vocabulary.,75,38,M67,,G4710,Rom.12.11,zeal,N-DSF,M0.5.6,9,verse-reading,1,2026-09-17T09:29:01Z,M0.5.6,"Does the vocabulary include a person-type term — one for the person who habitually possesses or exercises this characteristic? Record it, or none."
39,strong_meaning_tree,None -- no separate supplication/seeking term (asking to receive zeal from another) is present among this cluster's member strongs; the texts command or commend zeal but do not supply a lexeme for petitioning it.,76,39,M67,,G4710,Heb.6.11,earnestness,N-ASF,M0.5.7,10,verse-reading,1,2026-09-17T09:29:01Z,M0.5.7,"Does the vocabulary include a supplication or seeking term — one for the act of seeking this characteristic from another? Record it, or none."
40,strong_lexicon.lsj,"The supplied sources are entirely Greek NT and classical-Greek (LSJ) attestations of spoudē with no OT Hebrew equivalent among this cluster's member strongs in this batch; LSJ shows the term already carries religious-zeal usage in Hellenistic inscriptions (2nd c. BC, 'zeal toward the goddess') prior to and continuous with its NT usage (Rom.12.11, Heb.6.11), indicating continuity of the term's religious sense from Hellenistic Greek into the NT rather than a Testament-crossing development.",77,40,M67,,G4710,Rom.12.11,zeal,N-DSF,M0.5.8,11,verse-reading,1,2026-09-17T09:29:01Z,M0.5.8,What does the relationship between the OT Hebrew and NT Greek vocabulary show about continuity or development of the characteristic across the Testaments?
40,strong_lexicon.lsj,"The supplied sources are entirely Greek NT and classical-Greek (LSJ) attestations of spoudē with no OT Hebrew equivalent among this cluster's member strongs in this batch; LSJ shows the term already carries religious-zeal usage in Hellenistic inscriptions (2nd c. BC, 'zeal toward the goddess') prior to and continuous with its NT usage (Rom.12.11, Heb.6.11), indicating continuity of the term's religious sense from Hellenistic Greek into the NT rather than a Testament-crossing development.",78,40,M67,,G4710,Heb.6.11,earnestness,N-ASF,M0.5.8,11,verse-reading,2,2026-09-17T09:29:01Z,M0.5.8,What does the relationship between the OT Hebrew and NT Greek vocabulary show about continuity or development of the characteristic across the Testaments?
41,strong_lexicon.lsj,"None -- spoudē is well attested from Homer onward (LSJ cites Iliad, Odyssey) and is not a NT-period coinage; its religious-zeal sense is attested pre-NT in Hellenistic inscriptions.",79,41,M67,,G4710,Rom.12.11,zeal,N-DSF,M0.5.9,12,verse-reading,1,2026-09-17T09:29:01Z,M0.5.9,"Is there a term newly coined in the NT period for this characteristic; if so, what does the coinage show? Record it, or none."
42,strong_meaning_tree,"In Mark.6.25 the operation word 'came in' (G1525, entering) is initiated by the daughter (the party 'she') and directed toward the king, modified by the home-cluster noun 'haste' (spoudē) describing the manner of her approach in making her demand.",80,42,M67,,G4710,Mark.6.25,haste,N-GSF,D7.7.1,15,verse-reading,1,2026-09-17T09:29:01Z,D7.7.1,"Where this verse contains an action or movement word tagged as an Operation in the cluster's role classification (the tag is `role-T3` in `cluster.cluster_code` -- consult that tagging directly, not this question's own memory of it), what is that word's relation to the parties present -- who initiates it and toward whom or what is it directed? Record none if no such operation word is present."
43,strong_meaning_tree,"In 2Cor.8.7 the operation word 'excel' (G4052, perisseuō) is directed by the Corinthians (addressed 'you') toward growth in multiple graces including earnestness (spoudē, home strong), showing earnestness as one object/domain of the exhorted action rather than the action's initiator.",81,43,M67,,G4710,2Cor.8.7,earnestness,N-DSF,D7.7.1,15,verse-reading,1,2026-09-17T09:29:01Z,D7.7.1,"Where this verse contains an action or movement word tagged as an Operation in the cluster's role classification (the tag is `role-T3` in `cluster.cluster_code` -- consult that tagging directly, not this question's own memory of it), what is that word's relation to the parties present -- who initiates it and toward whom or what is it directed? Record none if no such operation word is present."
44,strong_meaning_tree,"In Heb.6.11 the operation word 'show' (G1731, endeiknumi) is initiated by 'each one of you' (the addressed party) and directed toward demonstrating 'the same earnestness' (spoudē, home strong) so as to attain full assurance of hope -- earnestness is the manner/quality object of the exhorted operation.",82,44,M67,,G4710,Heb.6.11,earnestness,N-ASF,D7.7.1,43,verse-reading,1,2026-09-17T09:29:01Z,D7.7.1,"Where this verse contains an action or movement word tagged as an Operation in the cluster's role classification (the tag is `role-T3` in `cluster.cluster_code` -- consult that tagging directly, not this question's own memory of it), what is that word's relation to the parties present -- who initiates it and toward whom or what is it directed? Record none if no such operation word is present."
45,strong_meaning_tree,"In Jude.1.3 the operation word 'write' (G1125) is initiated by the author (Jude) and directed toward the addressees ('you'), modified by his own eagerness (spoudē, home strong) to write about their common salvation.",83,45,M67,,G4710,Jude.1.3,eager,N-ASF,D7.7.1,44,verse-reading,1,2026-09-17T09:29:01Z,D7.7.1,"Where this verse contains an action or movement word tagged as an Operation in the cluster's role classification (the tag is `role-T3` in `cluster.cluster_code` -- consult that tagging directly, not this question's own memory of it), what is that word's relation to the parties present -- who initiates it and toward whom or what is it directed? Record none if no such operation word is present."
46,strong_meaning_tree,"In Matt.25.26 the operation words 'reap' and 'gather' (G2325, G4863) are attributed by the master to himself rhetorically, directed at the servant he is rebuking as 'wicked and slothful' (oknēros, home strong) -- the servant's own inaction (failure to trade the talent) is the implicit operation-failure being condemned, contrasted with the master's claimed harvesting activity.",84,46,M67,,G3636,Matt.25.26,slothful,A-VSM,D7.7.1,,verse-reading,1,2026-09-17T09:29:01Z,D7.7.1,"Where this verse contains an action or movement word tagged as an Operation in the cluster's role classification (the tag is `role-T3` in `cluster.cluster_code` -- consult that tagging directly, not this question's own memory of it), what is that word's relation to the parties present -- who initiates it and toward whom or what is it directed? Record none if no such operation word is present."
47,strong_meaning_tree,"No operation (role-T3) word co-occurs directly governing the home-cluster term 'trouble' (oknēros) in Phil.3.1 in a party-directed sense; the verb 'write' (G1125, role-T3) is present and initiated by Paul toward the Philippians, but oknēros here describes the writing's quality (not burdensome) rather than being itself the operation's object of direction.",85,47,M67,,G3636,Phil.3.1,trouble,A-NSN,D7.7.1,46,verse-reading,1,2026-09-17T09:29:01Z,D7.7.1,"Where this verse contains an action or movement word tagged as an Operation in the cluster's role classification (the tag is `role-T3` in `cluster.cluster_code` -- consult that tagging directly, not this question's own memory of it), what is that word's relation to the parties present -- who initiates it and toward whom or what is it directed? Record none if no such operation word is present."
48,strong_meaning_tree; strong_lexicon.lsj; strong_lexicon.mounce,"In 2Pet.1.5 the characteristic named is 'earnest effort/diligence' (G4710, spoude). The name signals not mere activity but concentrated, purposeful exertion applied toward supplementing faith with virtue — an intensifying, added-effort quality rather than passive possession.",86,48,M67,,G4710,2Pet.1.5,effort,N-ASF,M0.1.1,1,verse-reading,1,2026-09-17T09:29:39Z,M0.1.1,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
49,strong_lexicon.lsj; strong_meaning_tree,"The Greek term spoude (from speudo, 'to hasten') shows at root level a fusion of two senses: physical haste/speed and zealous, effortful earnestness — the same word covers both 'hurrying' and 'exerting oneself diligently,' as seen across Lk.1.39 (haste), 2Cor.8.16 (earnest care), and 2Pet.1.5 (effort/diligence).",87,49,M67,,G4710,2Pet.1.5,effort,N-ASF,M0.1.2,17,verse-reading,1,2026-09-17T09:29:39Z,M0.1.2,What do the primary Hebrew and Greek terms show at the definitional level?
49,strong_lexicon.lsj; strong_meaning_tree,"The Greek term spoude (from speudo, 'to hasten') shows at root level a fusion of two senses: physical haste/speed and zealous, effortful earnestness — the same word covers both 'hurrying' and 'exerting oneself diligently,' as seen across Lk.1.39 (haste), 2Cor.8.16 (earnest care), and 2Pet.1.5 (effort/diligence).",88,49,M67,,G4710,Luke.1.39,haste,N-GSF,M0.1.2,17,verse-reading,2,2026-09-17T09:29:39Z,M0.1.2,What do the primary Hebrew and Greek terms show at the definitional level?
49,strong_lexicon.lsj; strong_meaning_tree,"The Greek term spoude (from speudo, 'to hasten') shows at root level a fusion of two senses: physical haste/speed and zealous, effortful earnestness — the same word covers both 'hurrying' and 'exerting oneself diligently,' as seen across Lk.1.39 (haste), 2Cor.8.16 (earnest care), and 2Pet.1.5 (effort/diligence).",89,49,M67,,G4710,2Cor.8.16,earnest care,N-ASF,M0.1.2,17,verse-reading,3,2026-09-17T09:29:39Z,M0.1.2,What do the primary Hebrew and Greek terms show at the definitional level?
50,strong_meaning_tree; strong_lexicon.lsj,"The name carries a directional/relational implication: spoude is always oriented toward an object or goal — hastening toward a place (Luke.1.39), care directed toward a person (2Cor.8.16), or effort directed toward moral supplementation (2Pet.1.5). It is inherently other-directed or goal-directed, not a static inner state.",90,50,M67,,G4710,2Pet.1.5,effort,N-ASF,M0.1.3,18,verse-reading,1,2026-09-17T09:29:39Z,M0.1.3,"What directional, relational, or constitutional implication does the name carry?"
51,strong_lexicon.lsj; strong_meaning_tree; strong_lexicon.mounce,"Primary Greek term: spoude (G4710), from speudo ('to hasten, hurry'). Root meaning shows a movement-verb origin extended metaphorically to mental/moral exertion — physical urgency becomes zealous application. No Hebrew equivalent is present among this cluster's member strongs in this batch (all occurrences here are Greek).",91,51,M67,,G4710,2Pet.1.5,effort,N-ASF,M0.5.1,19,verse-reading,1,2026-09-17T09:29:39Z,M0.5.1,"What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?"
51,strong_lexicon.lsj; strong_meaning_tree; strong_lexicon.mounce,"Primary Greek term: spoude (G4710), from speudo ('to hasten, hurry'). Root meaning shows a movement-verb origin extended metaphorically to mental/moral exertion — physical urgency becomes zealous application. No Hebrew equivalent is present among this cluster's member strongs in this batch (all occurrences here are Greek).",92,51,M67,,G4710,Luke.1.39,haste,N-GSF,M0.5.1,19,verse-reading,2,2026-09-17T09:29:39Z,M0.5.1,"What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?"
51,strong_lexicon.lsj; strong_meaning_tree; strong_lexicon.mounce,"Primary Greek term: spoude (G4710), from speudo ('to hasten, hurry'). Root meaning shows a movement-verb origin extended metaphorically to mental/moral exertion — physical urgency becomes zealous application. No Hebrew equivalent is present among this cluster's member strongs in this batch (all occurrences here are Greek).",93,51,M67,,G4710,2Cor.8.16,earnest care,N-ASF,M0.5.1,19,verse-reading,3,2026-09-17T09:29:39Z,M0.5.1,"What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?"
52,strong_lexicon.lsj; strong_meaning_tree,"Across its occurrences, spoude's semantic arc runs from literal physical haste (Luke.1.39, Mary's hurried journey) through relational earnest care/concern for another (2Cor.8.16, Titus's care) to moral-spiritual diligence applied to character formation (2Pet.1.5, effort to supplement faith with virtue). The full range spans concrete motion, interpersonal solicitude, and inward ethical exertion.",94,52,M67,,G4710,2Pet.1.5,effort,N-ASF,M0.5.10,20,verse-reading,1,2026-09-17T09:29:39Z,M0.5.10,What does the full vocabulary arc show about the characteristic's complete semantic range?
52,strong_lexicon.lsj; strong_meaning_tree,"Across its occurrences, spoude's semantic arc runs from literal physical haste (Luke.1.39, Mary's hurried journey) through relational earnest care/concern for another (2Cor.8.16, Titus's care) to moral-spiritual diligence applied to character formation (2Pet.1.5, effort to supplement faith with virtue). The full range spans concrete motion, interpersonal solicitude, and inward ethical exertion.",95,52,M67,,G4710,Luke.1.39,haste,N-GSF,M0.5.10,20,verse-reading,2,2026-09-17T09:29:39Z,M0.5.10,What does the full vocabulary arc show about the characteristic's complete semantic range?
52,strong_lexicon.lsj; strong_meaning_tree,"Across its occurrences, spoude's semantic arc runs from literal physical haste (Luke.1.39, Mary's hurried journey) through relational earnest care/concern for another (2Cor.8.16, Titus's care) to moral-spiritual diligence applied to character formation (2Pet.1.5, effort to supplement faith with virtue). The full range spans concrete motion, interpersonal solicitude, and inward ethical exertion.",96,52,M67,,G4710,2Cor.8.16,earnest care,N-ASF,M0.5.10,20,verse-reading,3,2026-09-17T09:29:39Z,M0.5.10,What does the full vocabulary arc show about the characteristic's complete semantic range?
53,strong_meaning_tree,"Spoude (G4710) is a feminine noun, appearing in genitive, dative, and accusative forms across these verses (N-ASF, N-GSF, N-ASF). Its grammatical range as a noun (rather than verb) shows the characteristic is conceived as a quality or state one exercises or applies — an attribute brought to bear on an action — rather than the action itself, which is why it pairs with separate main verbs (arose/went, put, make effort).",97,53,M67,,G4710,2Pet.1.5,effort,N-ASF,M0.5.2,5,verse-reading,1,2026-09-17T09:29:39Z,M0.5.2,"What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?"
53,strong_meaning_tree,"Spoude (G4710) is a feminine noun, appearing in genitive, dative, and accusative forms across these verses (N-ASF, N-GSF, N-ASF). Its grammatical range as a noun (rather than verb) shows the characteristic is conceived as a quality or state one exercises or applies — an attribute brought to bear on an action — rather than the action itself, which is why it pairs with separate main verbs (arose/went, put, make effort).",98,53,M67,,G4710,Luke.1.39,haste,N-GSF,M0.5.2,5,verse-reading,2,2026-09-17T09:29:39Z,M0.5.2,"What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?"
53,strong_meaning_tree,"Spoude (G4710) is a feminine noun, appearing in genitive, dative, and accusative forms across these verses (N-ASF, N-GSF, N-ASF). Its grammatical range as a noun (rather than verb) shows the characteristic is conceived as a quality or state one exercises or applies — an attribute brought to bear on an action — rather than the action itself, which is why it pairs with separate main verbs (arose/went, put, make effort).",99,53,M67,,G4710,2Cor.8.16,earnest care,N-ASF,M0.5.2,5,verse-reading,3,2026-09-17T09:29:39Z,M0.5.2,"What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?"
54,strong_lexicon.lsj; strong_meaning_tree; strong_lexicon.mounce,"The semantic range of spoude spans: (1) literal haste/speed in travel or action; (2) zeal, eagerness, enthusiasm, especially religious zeal; (3) earnestness or seriousness as opposed to jest; (4) esteem, regard, or goodwill toward a person; (5) diligence/effort applied to a task or moral goal. Idiomatically it combines with 'meta' (with) to form adverbial phrases 'with haste' or 'with diligence,' and with 'poieisthai' to mean 'to take pains, be eager.'",100,54,M67,,G4710,2Pet.1.5,effort,N-ASF,M0.5.3,22,verse-reading,1,2026-09-17T09:29:39Z,M0.5.3,"What is the semantic range of the primary term — across what breadth of meaning does it operate, including any idiomatic, analogical, or otherwise implied meaning carried by its use in combination with other terms?"
54,strong_lexicon.lsj; strong_meaning_tree; strong_lexicon.mounce,"The semantic range of spoude spans: (1) literal haste/speed in travel or action; (2) zeal, eagerness, enthusiasm, especially religious zeal; (3) earnestness or seriousness as opposed to jest; (4) esteem, regard, or goodwill toward a person; (5) diligence/effort applied to a task or moral goal. Idiomatically it combines with 'meta' (with) to form adverbial phrases 'with haste' or 'with diligence,' and with 'poieisthai' to mean 'to take pains, be eager.'",101,54,M67,,G4710,Luke.1.39,haste,N-GSF,M0.5.3,22,verse-reading,2,2026-09-17T09:29:39Z,M0.5.3,"What is the semantic range of the primary term — across what breadth of meaning does it operate, including any idiomatic, analogical, or otherwise implied meaning carried by its use in combination with other terms?"
54,strong_lexicon.lsj; strong_meaning_tree; strong_lexicon.mounce,"The semantic range of spoude spans: (1) literal haste/speed in travel or action; (2) zeal, eagerness, enthusiasm, especially religious zeal; (3) earnestness or seriousness as opposed to jest; (4) esteem, regard, or goodwill toward a person; (5) diligence/effort applied to a task or moral goal. Idiomatically it combines with 'meta' (with) to form adverbial phrases 'with haste' or 'with diligence,' and with 'poieisthai' to mean 'to take pains, be eager.'",102,54,M67,,G4710,2Cor.8.16,earnest care,N-ASF,M0.5.3,22,verse-reading,3,2026-09-17T09:29:39Z,M0.5.3,"What is the semantic range of the primary term — across what breadth of meaning does it operate, including any idiomatic, analogical, or otherwise implied meaning carried by its use in combination with other terms?"
55,strong_meaning_tree; strong_lexicon.lsj,"Within this cluster's vocabulary, spoude itself straddles disposition and act: in 2Cor.8.16 it names an inward disposition (earnest care put into the heart), while in 2Pet.1.5 and Luke.1.39 it names the exercised act (making effort, hastening). No separate distinct term for the disposition-only or act-only aspect is present among the member strongs supplied here.",103,55,M67,,G4710,2Pet.1.5,effort,N-ASF,M0.5.4,23,verse-reading,1,2026-09-17T09:29:39Z,M0.5.4,"Does the vocabulary include terms distinguishing distinct aspects — disposition versus act, received versus given, condition versus quality? Record which, or none."
55,strong_meaning_tree; strong_lexicon.lsj,"Within this cluster's vocabulary, spoude itself straddles disposition and act: in 2Cor.8.16 it names an inward disposition (earnest care put into the heart), while in 2Pet.1.5 and Luke.1.39 it names the exercised act (making effort, hastening). No separate distinct term for the disposition-only or act-only aspect is present among the member strongs supplied here.",104,55,M67,,G4710,2Cor.8.16,earnest care,N-ASF,M0.5.4,23,verse-reading,2,2026-09-17T09:29:39Z,M0.5.4,"Does the vocabulary include terms distinguishing distinct aspects — disposition versus act, received versus given, condition versus quality? Record which, or none."
