database,name,grain,use,active,,
bible_research,verse_coverage_morphology,one row per id,"A per-word morphology extract for a narrow set of verses — 2,877 word rows covering only 326 distinct references, concentrated in Leviticus, Proverbs and Galatians. It duplicates the shape of verse_morphology on a tiny subset, so it reads as a pilot or one-off working extract from a batch of runs on 2026-06-28 rather than a maintained table.",0,,
bible_research,verse_evidence_index,no declared primary key — see cfg_column for verse_evidence_index's real columns,"The fan-in index that answers 'what evidence is bound to this verse' — 804,805 rows mapping a verse to each piece of evidence held against it, so a verse's full raw data can be retrieved in one query. It is a derived index over the other stores, not an authoring surface.",0,,
bible_research,verse_evidence_orphan,no declared primary key — see cfg_column for verse_evidence_orphan's real columns,"The reject log of the verse_evidence_index build: 222 evidence rows that could not be bound to a verse. Every row has the same single cause, making this a small, specific integrity backlog rather than a general error table.",0,,
bible_research,verse_morph_complexity,one row per verse_id,"A derived per-verse syntactic complexity profile counting content words, finite and non-finite verbs, conjunctions, prepositions and subordinators, with a summary score. Like verse_coverage it is a frozen snapshot — all 23,593 rows share one build timestamp of 2026-06-27 and cover verse_id 1..23593, i.e. 2,041 verses short of the master table.",0,,
bible_research,verse_morphology,one row per id,"The morphological backbone of the layer: one row per word of every verse (325,507 rows), carrying the surface form, Strong's tag, morph_code and the language/pos/stem derived from it. Unique on (verse_id, word_index) and sourced entirely from STEP. verse_span_index is a near-identical copy of this table plus analytical columns.",0,,
bible_research,verse_morphology_raw,one row per verse_id,"The raw STEP HTML behind the parsed morphology — one row per verse (25,634, i.e. complete cover of the master verse table), kept so the parse in verse_morphology can be re-derived or audited without re-fetching. This is an archival payload store, not a query surface.",0,,
bible_research,verse_span_index,one row per id,"The working analytical surface over word spans (325,474 rows): it reproduces verse_morphology's columns almost exactly and adds the analytical overlay — role, characteristic candidacy, ib_char link and cluster. The duplication is substantial and worth noting: source='verse_morphology' on every row confirms it is a materialised copy, and its row count sits 33 short of the source, so the two can drift.",0,,
bible_research,verse_term_index,no declared primary key — see cfg_column for verse_term_index's real columns,"A minimal derived lookup of which Strong's terms appear in which verse (275,593 rows, no primary key, indexed both ways). It is a de-duplicated projection of verse_morphology's (verse_id, primary_strong) pairs — a fast reverse index for 'which verses contain this term', holding no data of its own.",0,,
bible_research,wa_addendum_registry,one row per id,"A one-off audit artefact: 22 observations from the April 2026 global-rules audit, each recording a problem with a rule and where its content should migrate. Entirely historical — all 22 rows are marked obsolete with an identical reason, yet all 22 still show migration_status 'pending', so the record contradicts itself.",0,,
bible_research,wa_cross_registry_links,one row per id,"158 researcher-authored links between registry words, each naming the connecting Hebrew or Greek term and explaining the connection in prose — the pre-cluster way of recording that, say, anguish and grief share vocabulary. Superseded by the cluster model but retained; 140 of the 158 rows date from a single 2026-03-16 load and only 6 have been touched since.",0,,
bible_research,wa_crosslink_type,one row per id,"The 11 kinds of relationship that may connect two registry words, e.g. shared root, semantic opposition, causative chain. It is the controlled vocabulary behind wa_cross_registry_links.connection_type_id, though the link table belongs to the pre-cluster era.",0,,
bible_research,wa_data_quality_flags,one row per id,"Engine-derived data-quality evidence raised against a term in a word-study file (19,866 rows) — automated observations such as thin verse coverage or a concrete/physical gloss. All rows resolve to just 7 flag types, and the table has no resolution or soft-delete column, so it is an append-only log with no lifecycle.",0,,
bible_research,wa_dim_review_cluster_log,one row per id,"A completion log for the retired dimension review: one row per C-code cluster finished, six in all (C10, C13, C17, C20, C21, C22), recorded between 2026-04-09 and 2026-05-02. Against the 22 C-codes present in wa_dimension_index it shows the review was closed out for only six clusters before the layer was abandoned.",0,,
bible_research,wa_dimension_index,one row per id,"The retired dimension-review layer: 3,509 rows, one per verse_context_group, recording which of 20 named dimensions the group was assigned to and how its verses were triaged into anchor, related and set-aside. Written between 2026-04-06 and 2026-05-02 under the C-code cluster scheme and not touched since; superseded by the M-code cluster and finding model.",1,,
bible_research,wa_file_index,one row per id,"One row per input file (or engine onboarding stub) that supplied a registry word's data, with the file's provenance, split-part structure and specification version. CLAUDE.md marks it legacy — joins should use the bypass FK word_registry_fk rather than routing through this table — and its metadata columns are inconsistently filled across the eras it spans.",0,,
bible_research,wa_file_name_pattern,one row per id,"The 23 registered filename conventions used across the programme, each given as a template such as 'wa-dim-{cluster}-extract-{YYYYMMDD}.json' with the instruction that governs it. It is documentation held as data — nothing enforces these patterns, and the table has been unchanged since its single 2026-04-20 load.",0,,
bible_research,wa_finding_catalogue_links,one row per id,"The legacy mapping of Session B findings to catalogue questions, with a coverage judgement and a note on what the finding contributed. It is the predecessor of finding_question_link, points at wa_session_b_findings rather than the live finding table, and was written in April and May 2026; unlike its successor it exercises 375 of the catalogue's questions and records real coverage verdicts.",1,,
bible_research,wa_finding_entity_links,one row per id,"A legacy link from Session B findings to the verses or verse-context groups they attach to, superseded by finding_verse_link under the live model. Small and closed: 287 rows written across three batch runs in late April 2026, covering only 49 findings, and nothing has been added or deleted since.",1,,
bible_research,wa_flag_type_question_link,one row per id,"Maps quality-flag types to the catalogue questions that a raised flag should prompt, so that a data-quality signal pulls in the right analytical prompts. Tiny and static: twelve rows, all written in one run on 20 April 2026, all connecting four flag types to the Q-COV coverage question family.",1,,
bible_research,wa_label_pattern,one row per id,"The 11 registered identifier formats used for labels rather than filenames — finding ids, flag ids, patch ids, group codes — each mapped to the column it populates. Like wa_file_name_pattern it is documentation-as-data with no enforcement, untouched since its 2026-04-20 load.",1,,
bible_research,wa_lsj_parsed,one row per id,"Structured parse of the Liddell-Scott-Jones classical Greek lexicon entry for a term, splitting the raw entry into gloss, domains, and philosophical and etymological notes. Barely used: 9 rows against 2,221 inventory terms holding an lsj_entry, and 7 of the 9 are one small set of wealth vocabulary (ploutos and its cognates) done on 2026-05-14 — a pilot, not a programme.",0,,
bible_research,wa_meaning_parsed,one row per id,"One header row per inventory term for its parsed definition, holding the counts and derived flags of the parse whose detail lives in wa_meaning_sense and wa_meaning_stem. 7,748 rows, one-to-one with the term (term_inv_id is unique). Note the language column is broken: it reads 'Hebrew' for 2,386 rows whose term is actually Greek or Aramaic.",0,,
bible_research,wa_meaning_sense,one row per id,"The parsed sense hierarchy of a term's definition: 17,125 rows, one per numbered sense, keyed to wa_meaning_parsed and ordered by the source's own numbering (1, 1a, 1a1 and so on). Three of its columns — stem_label, domain_tag and is_homonym — were designed to enrich the hierarchy and carry no data at all, so the table delivers plain nesting only.",0,,
bible_research,wa_meaning_stem,one row per id,"Breaks a Hebrew verb's definition down by verbal stem (Qal, Piel, Hiphil and so on) with the sense each stem carries. Effectively unused: 13 rows covering just 3 terms, against 7,748 parses — the stem layer was built and then abandoned, as wa_meaning_parsed.stem_count being 0 on 7,745 rows confirms.",0,,
bible_research,wa_obs_question_catalogue,one row per obs_id,"The observation question catalogue: 424 prompts that drive analysis, organised by tier and component, each with its text, scope, provenance and lifecycle status. Its state is the notable thing — 243 of 424 rows are marked deleted and only 239 are 'active', the residue of a v2 restructure that retired 159 questions as redundant; note also that deleted and status disagree in count, so the two lifecycle markers are not kept consistent.",1,,
bible_research,wa_patch_type_registry,one row per id,"The 20 recognised JSON patch types, each naming the instruction that governs it and the tables it writes to — the reference-as-database record of what a patch of a given type is allowed to do. Written in April and barely touched since; nothing here has been deprecated.",0,,
bible_research,wa_prose_section_citations,one row per id,"Records which evidence a given prose section cites — a finding, a Q&A catalogue link, an SD pointer, or an observation sequence — together with the citation marker as it appears in the text. It covers only 25 prose sections out of 1,039 and was written in five batches in late April 2026; all its FKs point at the legacy Session B evidence tables, so it documents the old citation model rather than the live finding store.",1,,
bible_research,wa_quality_flag_types,one row per id,"Lookup of the 29 data-quality and research flag codes, grouped by kind and each defined in prose. Unlike phase2_flag_types it carries a deprecation mechanism and has been through at least one merge (THIN_DATA folded into VERSE_EVIDENCE_CONCENTRATED), so 4 codes are retired but retained.",1,,
bible_research,wa_rule_registry,one row per id,"The programme's global rules held as data: 59 rules with their text, rationale, application notes and supersession chain, all imported from a single JSON document. It is a live governance record only in the historical sense — 25 of the 59 rules are already marked obsolete and nothing has been written since April.",0,,
bible_research,wa_session_b_dimensions,one row per id,"A near-empty remnant of the Session B per-word dimensional assessment: just 2 rows, for registries 112 and 182, raised on 27 and 28 March 2026 under instruction v5.1/v5.2. Four fixed dimensions were each flagged present with a prose note. The structure was abandoned almost immediately — with two rows it carries no analytical weight and serves only as provenance for the approach.",1,,
bible_research,wa_session_b_findings,one row per id,"The superseded per-word Session B findings store: 2,883 findings raised April to May 2026 across 112 registries, since replaced by the universal finding table. It is retained rather than live, and carries its own audit trail — 264 findings were dropped in June 2026 as fabricated or templated, and 983 remain 'pending' with no resolution.",1,,
bible_research,wa_session_research_flags,one row per id,"Researcher-facing pointers and findings raised during analysis (715 rows) — a working queue of things to return to, with routing (session_target, cluster_link) and a resolution lifecycle. It has genuine vocabulary drift: priority holds both 'MEDIUM'/'HIGH'/'LOW' and lower-case 'normal'/'advisory', and session_target holds both 'D' and 'Session D', 'B' and 'Session B', 'Researcher' and 'researcher' — the same value spelled several ways with no CHECK to stop it.",1,,
bible_research,wa_term_inventory,one row per id,"The per-registry term inventory: one row per term as held under a given English word's file, carrying the STEP-sourced identity, gloss, meaning text, occurrence count, testament span and — critically — term_owner_type, which marks whether this is the term's canonical home (OWNER) or a cross-reference copy (XREF). At 7,844 rows it parallels mti_terms closely, but it is the registry-facing view: the same Strong's recurs across registries, giving 4,155 distinct Strong's over 7,844 rows.",0,,
bible_research,wa_term_phase2_flags,"one row per (term_inv_id, flag_id)","Junction attaching Phase 2 triage flags from phase2_flag_types to inventory terms: 1,570 assignments over 883 terms, using 25 distinct flag types. Broader in coverage than the parallel mti_term_flags (which uses only four types), but 1,092 of the rows are a single bulk patch dated 2026-03-19, so most of this table is machine-applied rather than assessed.",0,,
bible_research,wa_term_related_words,one row per id,"The related-word web: 103,944 rows attaching each inventory term to other lemmas STEP reports as related, by gloss, transliteration and Strong's. Overwhelmingly a bulk import of STEP's relatedNos field with no editorial layer — of a 34,641-row sample only 105 rows carry any relationship note at all, and none is soft-deleted.",0,,
bible_research,wa_term_root_family,one row per id,"Assigns inventory terms to a shared etymological root family by root code, so terms from one root (e.g. CHARAH, 'burn/anger') can be worked together. 2,861 rows over 2,860 distinct terms — roughly a third of the inventory — grouped into 964 root codes, and mostly backfilled in April 2026 by clustering wa_term_related_words rather than by direct etymological research.",0,,
bible_research,wa_verse_records,one row per id,"The legacy per-term-in-verse occurrence store (247,046 rows) that predates the master verse table — one row per term found in a verse, with the verse text, context, morphology and cluster/analysis markers denormalised onto it. It remains the anchor for verse_context, but it is heavily encumbered: 171,156 rows (69%) are soft-deleted, verse_id is NULL on some rows (the cause of the verse_evidence_orphan entries), and it duplicates verse_text and morph_code held authoritatively elsewhere.",0,,
bible_research,wa_verse_term_links,one row per id,"The junction between a wa_verse_records occurrence and a wa_term_inventory term (237,531 rows), unique on (verse_id, term_inv_id) and carrying the STEP sub-gloss that was matched. Note the naming trap: its verse_id column points at wa_verse_records.id, not at verse.id.",0,,
bible_research,wa_vocab_member,one row per id,"The 39 permitted values across the 8 declared vocabularies, one row per value with its label, description and sort order. It has a full supersession mechanism (deprecated, deprecation_note, superseded_by_member_id) that has never once been used — no value has ever been retired or replaced.",1,,
bible_research,wa_vocab_set,one row per id,"Declares 8 controlled vocabularies (dimension labels, dominant subject, confidence markers, Stage 2c outcomes), naming for each the DB column it governs and the instruction that ratified it. It is the intended enforcement layer for those value sets, but the enforcement is documentary only — no FK or CHECK in the schema points at wa_vocab_member.",1,,
bible_research,word_registry,one row per id,"The programme's lexical entry point: one row per English inner-life word (222 rows), carrying the word's definition, provenance, cluster assignment and the per-stage status fields that drive the pipeline. It accreted columns across several method eras, so it now mixes live status tracking with abandoned layers (dimension review, spirit-soul-body classification) and several columns that were never filled.",0,,
bible_research,word_run_state,one row per id,"Per-word outcome of each engine run: which phase the word reached, what the audit concluded and why it stopped. 539 rows over 373 runs — the audit's verdict history, and it shows REVIEW (491) as the overwhelming norm against only 8 PASS.",0,,
