id,no,word,source_list,category_hint,phase1_input_file,phase1_status,phase1_output_file,phase2_datasets,notes,automation_eligible,last_automation_run,automation_run_id,phase1_term_count,phase1_verse_count,strongs_list
72,72,groaning,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:37,RUN-20260318_134133-BULK_GAP_FILL,7,15,"[{""strong"": ""H5009"", ""count"": 3}, {""strong"": ""H0585"", ""count"": 3}, {""strong"": ""H0853"", ""count"": 2}, {""strong"": ""H7581"", ""count"": 2}, {""strong"": ""H1901"", ""count"": 1}, {""strong"": ""H0584"", ""count"": 1}, {""strong"": ""H0603"", ""count"": 1}, {""strong"": ""G4726"", ""count"": 1}, {""strong"": ""G4959"", ""count"": 1}, {""strong"": ""G2532"", ""count"": 1}, {""strong"": ""G4727"", ""count"": 1}]"
73,73,guilt,High Confidence,,word_guilt.md,Complete,WA-073-guilt-data-2026-03-08.json,1.0,16 terms (16 extracted). 1 part. Session A Instruction v5. MTI: extracted.,1,,,,,
74,74,hardness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:38,RUN-20260318_134133-BULK_GAP_FILL,1,2,"[{""strong"": ""G4457"", ""count"": 2}, {""strong"": ""H5797"", ""count"": 1}, {""strong"": ""G4641"", ""count"": 1}]"
75,75,hatred,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:38,RUN-20260318_134133-BULK_GAP_FILL,2,3,"[{""strong"": ""H8135"", ""count"": 11}, {""strong"": ""H4895"", ""count"": 2}, {""strong"": ""H7520"", ""count"": 1}, {""strong"": ""H8130"", ""count"": 1}]"
76,76,holiness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:38,RUN-20260318_134133-BULK_GAP_FILL,9,274,"[{""strong"": ""H6944"", ""count"": 10}, {""strong"": ""H6942"", ""count"": 10}, {""strong"": ""G0038"", ""count"": 4}, {""strong"": ""G0042"", ""count"": 3}, {""strong"": ""G3742"", ""count"": 2}, {""strong"": ""H6918"", ""count"": 1}, {""strong"": ""H0853"", ""count"": 1}, {""strong"": ""G0039"", ""count"": 1}, {""strong"": ""G0041"", ""count"": 1}, {""strong"": ""G0040"", ""count"": 1}]"
77,77,honesty,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:38,RUN-20260318_134133-BULK_GAP_FILL,1,56,"[{""strong"": ""H6666"", ""count"": 1}]"
78,78,hope,High Confidence,,word_hope_Part1.md,Complete,"WA-078-hope-data-part1-2026-03-13.json, WA-078-hope-data-part2-2026-03-13.json",2.0,46 terms (46 extracted). 2 parts. Session A Instruction v7. MTI: extracted.,1,,,,,
79,79,hopelessness,See word_confidence_split,,,In Progress,,,"COVERED — No further action required. Fully covered by the antonym range within hope (#78) — H3615 (kalah, to fail/cease), H2976 (ya'ash, to despair), and G1679 (elpizō in negative contexts). The registry already includes the despair/hopelessness semantic range. Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:38,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
80,80,humility,High Confidence,,word humility.md,Complete,WA-080-humility-data-2026-03-08.json,1.0,9 terms (9 extracted). 1 part. Session A Instruction v5. MTI: extracted.,1,,,,,
81,81,hypocrisy,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:38,RUN-20260318_134133-BULK_GAP_FILL,1,1,"[{""strong"": ""G5272"", ""count"": 5}]"
82,82,identity,See word_confidence_split,,,In Progress,,,"REPLACED by new entry #204 (""name"").",0,2026-03-18T13:41:38,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
83,83,idolatry,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:38,RUN-20260318_134133-BULK_GAP_FILL,3,14,"[{""strong"": ""G1495"", ""count"": 4}, {""strong"": ""H8655"", ""count"": 1}, {""strong"": ""H1544"", ""count"": 1}]"
84,84,image of God,See word_confidence_split,,,In Progress,,,"REPLACED by new entry #201 (""image"").",0,2026-03-18T13:41:38,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
85,85,imagination,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:38,RUN-20260318_134133-BULK_GAP_FILL,2,3,"[{""strong"": ""H4906"", ""count"": 1}, {""strong"": ""G1761"", ""count"": 1}]"
86,86,impurity,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:38,RUN-20260318_134133-BULK_GAP_FILL,3,84,"[{""strong"": ""H5079"", ""count"": 14}, {""strong"": ""G0167"", ""count"": 9}, {""strong"": ""H1931"", ""count"": 1}, {""strong"": ""H2931"", ""count"": 1}]"
87,87,indignation,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:38,RUN-20260318_134133-BULK_GAP_FILL,5,350,"[{""strong"": ""H2195"", ""count"": 15}, {""strong"": ""H3708"", ""count"": 1}, {""strong"": ""H2152"", ""count"": 1}, {""strong"": ""H2194"", ""count"": 1}, {""strong"": ""H3588"", ""count"": 1}, {""strong"": ""H7110"", ""count"": 1}, {""strong"": ""H2197"", ""count"": 1}, {""strong"": ""H5678"", ""count"": 1}, {""strong"": ""G0024"", ""count"": 1}]"
88,88,ingratitude,See word_confidence_split,,,In Progress,,,COVERED — No further action required. Covered by the negative dimension within gratitude (#69). Hebrew and Greek have no distinct word for ingratitude — it is expressed as the absence of praise/thanksgiving (H3034 yadah; G2168 eucharisteō). The existing gratitude entry covers both poles. Source: Session-A-v9-Empty-Words-Analysis-20260318.,0,2026-03-18T13:41:38,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
89,89,iniquity,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:38,RUN-20260318_134133-BULK_GAP_FILL,11,1770,"[{""strong"": ""H5771"", ""count"": 127}, {""strong"": ""H0205"", ""count"": 25}, {""strong"": ""H0853"", ""count"": 20}, {""strong"": ""H1931"", ""count"": 5}, {""strong"": ""H5766"", ""count"": 5}, {""strong"": ""H5753"", ""count"": 3}, {""strong"": ""H5921"", ""count"": 3}, {""strong"": ""H0518"", ""count"": 2}, {""strong"": ""G0093"", ""count"": 2}, {""strong"": ""H4480"", ""count"": 1}, {""strong"": ""H0834"", ""count"": 1}, {""strong"": ""H3588"", ""count"": 1}, {""strong"": ""H1961"", ""count"": 1}, {""strong"": ""H6041"", ""count"": 1}, {""strong"": ""H0413"", ""count"": 1}, {""strong"": ""H7562"", ""count"": 1}, {""strong"": ""H5869"", ""count"": 1}]"
90,90,innocence,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:38,RUN-20260318_134133-BULK_GAP_FILL,4,224,"[{""strong"": ""H5356"", ""count"": 4}, {""strong"": ""H3682"", ""count"": 1}, {""strong"": ""H2009"", ""count"": 1}, {""strong"": ""H8537"", ""count"": 1}]"
91,91,insight,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:38,RUN-20260318_134133-BULK_GAP_FILL,2,106,"[{""strong"": ""H0998"", ""count"": 9}, {""strong"": ""H7919"", ""count"": 3}, {""strong"": ""H0995"", ""count"": 1}, {""strong"": ""G5428"", ""count"": 1}, {""strong"": ""G4907"", ""count"": 1}]"
92,92,integrity,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:39,RUN-20260318_134133-BULK_GAP_FILL,4,381,"[{""strong"": ""H8537"", ""count"": 15}, {""strong"": ""H8538"", ""count"": 5}, {""strong"": ""H8549"", ""count"": 4}, {""strong"": ""H1931"", ""count"": 1}, {""strong"": ""H3588"", ""count"": 1}, {""strong"": ""G0861"", ""count"": 1}]"
93,93,intention,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:39,RUN-20260318_134133-BULK_GAP_FILL,1,5,"[{""strong"": ""H3336"", ""count"": 2}]"
94,94,intercession,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:39,RUN-20260318_134133-BULK_GAP_FILL,2,23,"[{""strong"": ""H6293"", ""count"": 1}, {""strong"": ""G1793"", ""count"": 1}]"
95,95,intuition,See word_confidence_split,,,In Progress,,,"COVERED — No further action required. Covered by discernment (#49), wisdom (#174), and insight (#91). ""Intuition"" is a modern psychological category without a Hebrew or Greek lexical equivalent. The inner knowing described in Scripture is accessed through the wisdom/discernment/understanding cluster already in the registry. Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:39,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
96,96,jealousy,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:39,RUN-20260318_134133-BULK_GAP_FILL,1,4,"[{""strong"": ""H7068"", ""count"": 27}, {""strong"": ""G2205"", ""count"": 9}, {""strong"": ""H7065"", ""count"": 4}, {""strong"": ""H0853"", ""count"": 1}, {""strong"": ""G3863"", ""count"": 1}]"
97,97,joy,See word_confidence_split,,,Complete,"02-wa-097-joy-data-part1-patch-20260317-v1.json, 03-wa-097-joy-data-part2-patch-20260317-v1.json, 04-wa-097-joy-data-part3-patch-20260317-v1.json",,28 terms (25 extracted). 3 excluded. 1 part. MTI: extracted.,1,,,,,
98,98,justice,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:39,RUN-20260318_134133-BULK_GAP_FILL,12,592,"[{""strong"": ""H4941"", ""count"": 110}, {""strong"": ""G2920"", ""count"": 5}, {""strong"": ""H8199"", ""count"": 4}, {""strong"": ""H6666"", ""count"": 3}, {""strong"": ""H6664"", ""count"": 2}, {""strong"": ""H1779"", ""count"": 2}, {""strong"": ""G1556"", ""count"": 2}, {""strong"": ""G1557"", ""count"": 2}, {""strong"": ""H5186"", ""count"": 1}, {""strong"": ""H6663"", ""count"": 1}, {""strong"": ""H2009"", ""count"": 1}, {""strong"": ""H0518"", ""count"": 1}, {""strong"": ""H6415"", ""count"": 1}, {""strong"": ""H0853"", ""count"": 1}, {""strong"": ""G1349"", ""count"": 1}, {""strong"": ""G1343"", ""count"": 1}]"
99,99,kindness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:39,RUN-20260318_134133-BULK_GAP_FILL,7,695,"[{""strong"": ""H2617"", ""count"": 17}, {""strong"": ""G5544"", ""count"": 8}, {""strong"": ""H5973"", ""count"": 3}, {""strong"": ""G5363"", ""count"": 2}, {""strong"": ""H2088"", ""count"": 1}, {""strong"": ""H5978"", ""count"": 1}, {""strong"": ""H0120"", ""count"": 1}, {""strong"": ""H7356"", ""count"": 1}, {""strong"": ""G1932"", ""count"": 1}, {""strong"": ""G5543"", ""count"": 1}, {""strong"": ""G1722"", ""count"": 1}]"
100,100,knowledge,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:39,RUN-20260318_134133-BULK_GAP_FILL,12,723,"[{""strong"": ""H1847"", ""count"": 81}, {""strong"": ""G1108"", ""count"": 27}, {""strong"": ""G1922"", ""count"": 19}, {""strong"": ""H3045"", ""count"": 15}, {""strong"": ""H1844"", ""count"": 6}, {""strong"": ""H4093"", ""count"": 3}, {""strong"": ""H1843"", ""count"": 2}, {""strong"": ""H4486"", ""count"": 2}, {""strong"": ""G6063"", ""count"": 2}, {""strong"": ""H5869"", ""count"": 1}, {""strong"": ""H8454"", ""count"": 1}, {""strong"": ""H0853"", ""count"": 1}, {""strong"": ""H0859"", ""count"": 1}, {""strong"": ""G4894"", ""count"": 1}, {""strong"": ""G0056"", ""count"": 1}, {""strong"": ""G1722"", ""count"": 1}]"
101,101,laziness,See word_confidence_split,,,In Progress,,,"REPLACED by new entry #208 (""sloth"").",0,2026-03-18T13:41:40,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
102,102,longing,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:40,RUN-20260318_134133-BULK_GAP_FILL,4,6,"[{""strong"": ""G1971"", ""count"": 2}, {""strong"": ""G1972"", ""count"": 2}, {""strong"": ""H3616"", ""count"": 1}, {""strong"": ""H8378"", ""count"": 1}, {""strong"": ""H8264"", ""count"": 1}, {""strong"": ""H8375"", ""count"": 1}, {""strong"": ""G1937"", ""count"": 1}, {""strong"": ""G0603"", ""count"": 1}]"
103,103,love,High Confidence,,word_love_Part1.md,Complete,WA-103-love-data-part1/2/3-2026-03-15.json,3.0,123 terms (120 extracted). 3 excluded. 3 parts. Session A Instruction v7. MTI: extracted.,1,,,,,
104,104,loyalty,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:40,RUN-20260318_134133-BULK_GAP_FILL,1,49,"[{""strong"": ""H2617"", ""count"": 2}]"
105,105,lust,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:40,RUN-20260318_134133-BULK_GAP_FILL,4,40,"[{""strong"": ""H8457"", ""count"": 2}, {""strong"": ""G1939"", ""count"": 2}, {""strong"": ""H7518"", ""count"": 1}, {""strong"": ""H1942"", ""count"": 1}, {""strong"": ""H2552"", ""count"": 1}, {""strong"": ""H8385"", ""count"": 1}, {""strong"": ""H5178"", ""count"": 1}, {""strong"": ""H5691"", ""count"": 1}, {""strong"": ""H0853"", ""count"": 1}, {""strong"": ""G4561"", ""count"": 1}]"
106,106,manipulation,See word_confidence_split,,,In Progress,,,"PARTIAL — Research required. Partially covered by deceit (#40). The specific inner orientation of manipulating others — G3834 (panourgia, craftiness; 5 occurrences) and H6195 (ormah, shrewdness/cunning) — is present in deceit-adjacent registries but not given its own space. Recommend confirming deceit covers H4820 (mirmah, deceit; 39 occurrences) and G1388 (dolos, guile/treachery; 11 occurrences). Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:40,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
107,107,meaning,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:40,RUN-20260318_134133-BULK_GAP_FILL,2,3,"[{""strong"": ""H4100"", ""count"": 1}, {""strong"": ""G3177"", ""count"": 1}, {""strong"": ""G0880"", ""count"": 1}, {""strong"": ""G1411"", ""count"": 1}]"
108,108,meditation,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:40,RUN-20260318_134133-BULK_GAP_FILL,5,303,"[{""strong"": ""H7881"", ""count"": 3}, {""strong"": ""H1902"", ""count"": 1}, {""strong"": ""H1900"", ""count"": 1}, {""strong"": ""H7879"", ""count"": 1}, {""strong"": ""H5921"", ""count"": 1}]"
109,109,meekness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:40,RUN-20260318_134133-BULK_GAP_FILL,0,0,"[{""strong"": ""G4236"", ""count"": 2}, {""strong"": ""G4240"", ""count"": 2}, {""strong"": ""H6037"", ""count"": 1}]"
110,110,memory,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:40,RUN-20260318_134133-BULK_GAP_FILL,2,6,"[{""strong"": ""H2143"", ""count"": 9}, {""strong"": ""H0853"", ""count"": 2}, {""strong"": ""G3422"", ""count"": 2}]"
111,111,mercy,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:40,RUN-20260318_134133-BULK_GAP_FILL,18,1148,"[{""strong"": ""G1653"", ""count"": 31}, {""strong"": ""H3727"", ""count"": 27}, {""strong"": ""G1656"", ""count"": 27}, {""strong"": ""H7355"", ""count"": 22}, {""strong"": ""H7356"", ""count"": 21}, {""strong"": ""H0853"", ""count"": 11}, {""strong"": ""H2603"", ""count"": 11}, {""strong"": ""H8469"", ""count"": 8}, {""strong"": ""H8467"", ""count"": 5}, {""strong"": ""H0413"", ""count"": 2}, {""strong"": ""H2617"", ""count"": 2}, {""strong"": ""H3819"", ""count"": 2}, {""strong"": ""H2088"", ""count"": 1}, {""strong"": ""H4480"", ""count"": 1}, {""strong"": ""H5921"", ""count"": 1}, {""strong"": ""H3808"", ""count"": 1}, {""strong"": ""H1961"", ""count"": 1}, {""strong"": ""H6279"", ""count"": 1}, {""strong"": ""H2550"", ""count"": 1}, {""strong"": ""H7359"", ""count"": 1}, {""strong"": ""H2604"", ""count"": 1}, {""strong"": ""H5750"", ""count"": 1}, {""strong"": ""H0834"", ""count"": 1}, {""strong"": ""G2435"", ""count"": 1}, {""strong"": ""G3628"", ""count"": 1}, {""strong"": ""G0448"", ""count"": 1}]"
112,112,mind,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:40,RUN-20260318_134133-BULK_GAP_FILL,22,1450,"[{""strong"": ""H3820"", ""count"": 24}, {""strong"": ""G3563"", ""count"": 18}, {""strong"": ""H3824"", ""count"": 11}, {""strong"": ""H5921"", ""count"": 6}, {""strong"": ""G1271"", ""count"": 6}, {""strong"": ""H3825"", ""count"": 5}, {""strong"": ""G5426"", ""count"": 5}, {""strong"": ""H1961"", ""count"": 4}, {""strong"": ""G5427"", ""count"": 4}, {""strong"": ""H5973"", ""count"": 3}, {""strong"": ""H7307"", ""count"": 3}, {""strong"": ""G3338"", ""count"": 3}, {""strong"": ""G4993"", ""count"": 3}, {""strong"": ""G3105"", ""count"": 3}, {""strong"": ""H5162"", ""count"": 2}, {""strong"": ""H5315"", ""count"": 2}, {""strong"": ""H3629"", ""count"": 2}, {""strong"": ""G1106"", ""count"": 2}, {""strong"": ""H6440"", ""count"": 1}, {""strong"": ""H5048"", ""count"": 1}, {""strong"": ""H0834"", ""count"": 1}, {""strong"": ""H0853"", ""count"": 1}, {""strong"": ""H7907"", ""count"": 1}, {""strong"": ""H7130"", ""count"": 1}, {""strong"": ""H3336"", ""count"": 1}, {""strong"": ""H1079"", ""count"": 1}, {""strong"": ""G1839"", ""count"": 1}, {""strong"": ""G3130"", ""count"": 1}, {""strong"": ""G5590"", ""count"": 1}, {""strong"": ""G4238"", ""count"": 1}, {""strong"": ""G3675"", ""count"": 1}, {""strong"": ""G5391"", ""count"": 1}, {""strong"": ""G3510"", ""count"": 1}]"
113,113,mourning,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:41,RUN-20260318_134133-BULK_GAP_FILL,10,51,"[{""strong"": ""H0060"", ""count"": 23}, {""strong"": ""H4553"", ""count"": 6}, {""strong"": ""H0056"", ""count"": 5}, {""strong"": ""G3997"", ""count"": 5}, {""strong"": ""H0057"", ""count"": 3}, {""strong"": ""H6937"", ""count"": 3}, {""strong"": ""G2875"", ""count"": 2}, {""strong"": ""H0853"", ""count"": 1}, {""strong"": ""H0205"", ""count"": 1}, {""strong"": ""H1931"", ""count"": 1}, {""strong"": ""H6969"", ""count"": 1}, {""strong"": ""H4798"", ""count"": 1}, {""strong"": ""H8386"", ""count"": 1}, {""strong"": ""H1899"", ""count"": 1}, {""strong"": ""H6941"", ""count"": 1}, {""strong"": ""G2799"", ""count"": 1}, {""strong"": ""G3602"", ""count"": 1}, {""strong"": ""G3996"", ""count"": 1}]"
114,114,obedience,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:41,RUN-20260318_134133-BULK_GAP_FILL,2,11,"[{""strong"": ""G5218"", ""count"": 12}, {""strong"": ""H3349"", ""count"": 1}]"
115,115,passion,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:41,RUN-20260318_134133-BULK_GAP_FILL,2,3,"[{""strong"": ""G3806"", ""count"": 2}, {""strong"": ""G2372"", ""count"": 2}, {""strong"": ""G3715"", ""count"": 1}, {""strong"": ""G3394"", ""count"": 1}]"
116,116,patience,High Confidence,,word_patient.md,Complete,WA-116-patience-data-2026-03-09.json,1.0,12 terms (12 extracted). 1 part. Session A Instruction v4. MTI: extracted.,1,,,,,
117,117,peace,See word_confidence_split,,,Complete,WA-117-peace-data-part1/2/3-20260317.json,,34 terms (26 extracted). 8 theological anchors. 1 part. MTI: extracted.,1,2026-03-18T17:28:36,RUN-20260318_172829-AUDIT_WORD,34,1296,
118,118,personality,See word_confidence_split,,,In Progress,,,"COVERED — No further action required. Covered by the anthropological core — soul (#182), heart (#183), spirit (#184), and conscience (#26). ""Personality"" is a modern psychological construct with no single lexical equivalent in Scripture. The totality of inner being expressed through these four entries encompasses what personality means in the biblical framework. Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:41,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
119,119,personhood,See word_confidence_split,,,In Progress,,,"REPLACED by new entry #211 (""being"").",0,2026-03-18T13:41:41,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
120,120,perverseness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:41,RUN-20260318_134133-BULK_GAP_FILL,3,12,"[{""strong"": ""H8419"", ""count"": 1}, {""strong"": ""H5558"", ""count"": 1}, {""strong"": ""H3868"", ""count"": 1}]"
121,121,praise,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:41,RUN-20260318_134133-BULK_GAP_FILL,28,924,"[{""strong"": ""H8416"", ""count"": 40}, {""strong"": ""H1984"", ""count"": 36}, {""strong"": ""H3034"", ""count"": 22}, {""strong"": ""G1868"", ""count"": 8}, {""strong"": ""H2167"", ""count"": 3}, {""strong"": ""G0134"", ""count"": 3}, {""strong"": ""H2158"", ""count"": 2}, {""strong"": ""H7624"", ""count"": 2}, {""strong"": ""G0136"", ""count"": 2}, {""strong"": ""G5567"", ""count"": 2}, {""strong"": ""H0859"", ""count"": 1}, {""strong"": ""H5115"", ""count"": 1}, {""strong"": ""H1974"", ""count"": 1}, {""strong"": ""H8426"", ""count"": 1}, {""strong"": ""H0587"", ""count"": 1}, {""strong"": ""H0259"", ""count"": 1}, {""strong"": ""H8462"", ""count"": 1}, {""strong"": ""H0854"", ""count"": 1}, {""strong"": ""H3651"", ""count"": 1}, {""strong"": ""H7623"", ""count"": 1}, {""strong"": ""H7318"", ""count"": 1}, {""strong"": ""H7442"", ""count"": 1}, {""strong"": ""H4110"", ""count"": 1}, {""strong"": ""H3588"", ""count"": 1}, {""strong"": ""G1391"", ""count"": 1}, {""strong"": ""G1843"", ""count"": 1}, {""strong"": ""G2162"", ""count"": 1}, {""strong"": ""G5214"", ""count"": 1}, {""strong"": ""G0133"", ""count"": 1}]"
122,122,prayer,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:42,RUN-20260318_134133-BULK_GAP_FILL,12,963,"[{""strong"": ""H8605"", ""count"": 72}, {""strong"": ""G4335"", ""count"": 19}, {""strong"": ""H0853"", ""count"": 12}, {""strong"": ""G1162"", ""count"": 8}, {""strong"": ""H0413"", ""count"": 5}, {""strong"": ""H6419"", ""count"": 3}, {""strong"": ""G4336"", ""count"": 3}, {""strong"": ""H6279"", ""count"": 2}, {""strong"": ""H1931"", ""count"": 1}, {""strong"": ""H3605"", ""count"": 1}, {""strong"": ""H1697"", ""count"": 1}, {""strong"": ""H0834"", ""count"": 1}, {""strong"": ""H6440"", ""count"": 1}, {""strong"": ""H5973"", ""count"": 1}, {""strong"": ""H3908"", ""count"": 1}, {""strong"": ""G1783"", ""count"": 1}, {""strong"": ""G2171"", ""count"": 1}]"
123,123,pride,High Confidence,,word pride.md,Complete,WA-123-pride-data-2026-03-09.json,1.0,26 terms (26 extracted). 1 part. Session A Instruction v5. MTI: extracted.,1,,,,,
124,124,prophecy,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:42,RUN-20260318_134133-BULK_GAP_FILL,2,14,"[{""strong"": ""G4394"", ""count"": 14}, {""strong"": ""H5016"", ""count"": 3}]"
125,125,purity,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:42,RUN-20260318_134133-BULK_GAP_FILL,3,38,"[{""strong"": ""G0047"", ""count"": 2}, {""strong"": ""H2889"", ""count"": 1}, {""strong"": ""G1722"", ""count"": 1}, {""strong"": ""G0054"", ""count"": 1}]"
126,126,purpose,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:42,RUN-20260318_134133-BULK_GAP_FILL,21,1131,"[{""strong"": ""G4286"", ""count"": 6}, {""strong"": ""H6098"", ""count"": 5}, {""strong"": ""H2656"", ""count"": 3}, {""strong"": ""G1012"", ""count"": 3}, {""strong"": ""H1697"", ""count"": 2}, {""strong"": ""H4209"", ""count"": 2}, {""strong"": ""G0846"", ""count"": 2}, {""strong"": ""G2107"", ""count"": 2}, {""strong"": ""H5668"", ""count"": 1}, {""strong"": ""H7451"", ""count"": 1}, {""strong"": ""H3588"", ""count"": 1}, {""strong"": ""H4399"", ""count"": 1}, {""strong"": ""H3820"", ""count"": 1}, {""strong"": ""H4616"", ""count"": 1}, {""strong"": ""H1584"", ""count"": 1}, {""strong"": ""H2154"", ""count"": 1}, {""strong"": ""H4617"", ""count"": 1}, {""strong"": ""H4639"", ""count"": 1}, {""strong"": ""H2654"", ""count"": 1}, {""strong"": ""H4284"", ""count"": 1}, {""strong"": ""G1223"", ""count"": 1}, {""strong"": ""G2588"", ""count"": 1}, {""strong"": ""G1432"", ""count"": 1}, {""strong"": ""G2573"", ""count"": 1}, {""strong"": ""G2570"", ""count"": 1}, {""strong"": ""G3778"", ""count"": 1}, {""strong"": ""G2761"", ""count"": 1}, {""strong"": ""G5056"", ""count"": 1}, {""strong"": ""G1106"", ""count"": 1}]"
127,127,reasoning,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:42,RUN-20260318_134133-BULK_GAP_FILL,2,5,"[{""strong"": ""G1256"", ""count"": 2}, {""strong"": ""G1261"", ""count"": 1}]"
128,128,rebellion,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:42,RUN-20260318_134133-BULK_GAP_FILL,11,361,"[{""strong"": ""H5627"", ""count"": 3}, {""strong"": ""H6586"", ""count"": 3}, {""strong"": ""H4805"", ""count"": 2}, {""strong"": ""G3894"", ""count"": 2}, {""strong"": ""H4775"", ""count"": 1}, {""strong"": ""H4777"", ""count"": 1}, {""strong"": ""H4776"", ""count"": 1}, {""strong"": ""H6588"", ""count"": 1}, {""strong"": ""H0834"", ""count"": 1}, {""strong"": ""G0646"", ""count"": 1}, {""strong"": ""G0485"", ""count"": 1}]"
129,129,recognition,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:42,RUN-20260318_134133-BULK_GAP_FILL,1,9,"[{""strong"": ""G1921"", ""count"": 1}]"
130,130,reconciliation,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:42,RUN-20260318_134133-BULK_GAP_FILL,1,4,"[{""strong"": ""G2643"", ""count"": 4}]"
131,131,rejection,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:42,RUN-20260318_134133-BULK_GAP_FILL,1,1,"[{""strong"": ""G0580"", ""count"": 1}]"
132,132,rejoicing,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:42,RUN-20260318_134133-BULK_GAP_FILL,3,237,"[{""strong"": ""G5463"", ""count"": 7}, {""strong"": ""H8057"", ""count"": 5}, {""strong"": ""H8056"", ""count"": 4}, {""strong"": ""H7832"", ""count"": 2}, {""strong"": ""H8033"", ""count"": 1}, {""strong"": ""H1931"", ""count"": 1}, {""strong"": ""H1961"", ""count"": 1}, {""strong"": ""H8055"", ""count"": 1}, {""strong"": ""H5951"", ""count"": 1}, {""strong"": ""G2165"", ""count"": 1}]"
133,133,reliability,See word_confidence_split,,,In Progress,,,"COVERED — No further action required. Fully covered by faithfulness (#60). H0529 (emun, faithfulness/reliability) and H0571 (emet, truth/reliability) are both within the faithfulness registry. No distinct lexical entry for reliability exists separate from the Hebrew emet/emunah family. Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:43,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
134,134,renewal,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:43,RUN-20260318_134133-BULK_GAP_FILL,2,7,"[{""strong"": ""G0342"", ""count"": 2}, {""strong"": ""H2487"", ""count"": 1}]"
135,135,repentance,High Confidence,,word_repentance.md,Complete,WA-135-repentance-data-2026-03-14.json,1.0,14 terms (14 extracted). 1 part. Session A Instruction v7. MTI: extracted.,1,,,,,
136,136,resentment,See word_confidence_split,,,In Progress,,,"REPLACED by new entry #205 (""resentment"").",0,2026-03-18T13:41:43,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
